"","SampleID","Treatment","MetaHybridLouvain","N","Freq","CCR4","CCR5","CCR6","CCR7","CD11b","CD11c","CD123","CD127","CD14","CD141","CD16","CD161","CD19","CD1c","CD20","CD209","CD25","CD27","CD3","CD38","CD4","CD40","CD45RA","CD54","CD56","CD57","CD66b","CD8","CD80","CD86","CHIKV","CX3CR1","CXCR3","CXCR5","DNA","HLADR","PD1"
"1","1758_dna","Acute","b_cell_memory_1",259,0.00449184876864377,0.25371286428449,0.107248493276329,0.500968642694823,0.213145192118063,0.274733461972704,0.257935966880936,0.104764507966127,0.172308696293572,0.130977009925666,0.193499356214085,0.296610213942829,0.107210791043361,0.6323843723962,0.47820859907035,0.734665975244711,0.047314387221305,0.256381220294894,0.326131591905667,0.146942593278933,0.363158678184979,0.0986505378255189,0.7604960909391,0.713367481582361,0.384229919679235,0.19659801891745,0.118768252613874,0.226158224466881,0.0829721889728661,0.153339394031,0.167581114526274,0.234599006514466,0.0355202856543723,0.1358662344098,0.524443455630773,0.869976624171227,0.656109757688388,0.0543425747334069
"2","1758_dna","Conv","b_cell_memory_1",4087,0.0190780721204341,0.228691440798324,0.0835700355515351,0.64961033790995,0.206911910115244,0.284862284851212,0.22450180065978,0.128940063753745,0.152950865990975,0.147148137669662,0.17216511952936,0.255789860746681,0.12169018743549,0.681826498478357,0.485560993670524,0.68586547219901,0.0610024112160665,0.269581916563313,0.316720917751624,0.15727481854642,0.335801724229764,0.0951889039128578,0.727433161127682,0.696347629490448,0.358448065091682,0.193750718522519,0.186907037936729,0.212083972200122,0.0792415842566545,0.148006522734133,0.147977420933613,0.158235197798389,0.0288586243268303,0.294627514366088,0.640244997249664,0.870363493145553,0.660166537369858,0.0395428335082032
"3","1760_dna","Acute","b_cell_memory_1",1982,0.0220592327126624,0.237287726343279,0.135678061080661,0.517269401158023,0.195952993493623,0.319927890989956,0.247786877992933,0.079651029163543,0.217070595059115,0.129312993811751,0.161632942291835,0.332541513796065,0.0958952032856435,0.592675901761801,0.45523212191189,0.784027990331795,0.0631285186536204,0.179901177697626,0.249675306902925,0.118664868179567,0.410732549714408,0.0786805549233204,0.686498609529073,0.624193854763635,0.275164286787433,0.155275837579745,0.112940078136427,0.224278940150518,0.0723976247316466,0.192735701085269,0.170335159871203,0.205043472181168,0.0439436632260589,0.193710856953595,0.355964889646594,0.869844927637838,0.656616573893765,0.0502602902498166
"4","1760_dna","Conv","b_cell_memory_1",5087,0.0278232047825064,0.206585193338437,0.110051033531823,0.657426860266217,0.206441760986601,0.304524671263115,0.264694421546954,0.0888188689490192,0.192381659870752,0.13313942638759,0.170898242295348,0.296298083709813,0.108778941483135,0.672028892594412,0.453790975377938,0.747403414841956,0.0634933631935348,0.204487581356596,0.310140569741657,0.135389795875232,0.330688854950346,0.0886669635834404,0.685650355630692,0.667653595906309,0.284407718009349,0.167353815242401,0.166710385903873,0.206965564789881,0.072210457672682,0.195288484508279,0.139267271037943,0.135433026661288,0.0372193364610651,0.352632695412256,0.556462093193798,0.86971112759545,0.635684690225153,0.0440986270230043
"5","1773_dna","Acute","b_cell_memory_1",439,0.0086997879550544,0.212029708508691,0.140641161783669,0.604146519388982,0.2943094321451,0.315297883688788,0.271068730233581,0.0966744601794018,0.163188674690675,0.140469189377868,0.147660135460668,0.28354996306583,0.102089149622954,0.609528563838076,0.381878175450455,0.716968786204271,0.0500053482615843,0.276248013392829,0.413387005709069,0.189440474447136,0.382314289879812,0.0902637754697836,0.733434636934344,0.663714622472504,0.363770163146067,0.161028393563669,0.131491955305092,0.192942774385682,0.0816696892645251,0.20508309152734,0.139855220954095,0.177218197449547,0.0400865828821372,0.116766579259608,0.576189867281792,0.86414733435262,0.630340293407849,0.0502131220678271
"6","1773_dna","Conv","b_cell_memory_1",4141,0.0189648776511214,0.177229041292531,0.11540681572645,0.49632227940528,0.25254941302444,0.341719730186561,0.217520815906515,0.0855217878377305,0.127781664990822,0.131202178361317,0.13891605302747,0.243263463403773,0.109832363374765,0.681617607753588,0.358873140900601,0.667010972727367,0.0553879050244136,0.277744409959615,0.399840432499511,0.167662883353779,0.303345103510139,0.0775837576798111,0.697301282013295,0.654157251836153,0.369710834744725,0.168066549496188,0.167895423223602,0.174280735070805,0.0696684559097563,0.176592963586049,0.112405006446852,0.150596104429874,0.030122690034807,0.207432235508412,0.648077053802782,0.855550735609914,0.660034439321822,0.0393336549057108
"7","1778_dna","Acute","b_cell_memory_1",19,0.00649794801641587,0.295189332310971,0.15639101920813,0.347154915100609,0.372867757538494,0.403573780852352,0.317718837623785,0.0863404047373754,0.211132785796371,0.125687113656365,0.0951718630773227,0.399687753453826,0.0910217414249855,0.634540965854612,0.244206523465194,0.780003280026856,0.0897959285396533,0.241137141951576,0.19269836135573,0.174601779068218,0.524451265602984,0.0564090065653462,0.70377221542939,0.525167124462043,0.243201969131963,0.167249765688696,0.0615413177429147,0.171576717210537,0.0739874219589426,0.154833593474701,0.36645179594313,0.129354621937766,0.116073900313478,0.215879360510917,0.352899401560545,0.852506891351154,0.76544277873441,0.0570872987915531
"8","1778_dna","Conv","b_cell_memory_1",683,0.0123770001630937,0.225710893527372,0.139771047461932,0.414211421792885,0.357468074538166,0.326816952956432,0.150366065350723,0.0723173435976085,0.136609311382191,0.106965958733488,0.0898005440036763,0.341702182621132,0.0761781163435643,0.606816553680564,0.209982168536995,0.733098325668688,0.102073764473223,0.211902851056426,0.230721628436595,0.192473181138529,0.3749555241321,0.0840127279602859,0.690340367177543,0.51805161408882,0.167067808634357,0.143546351585817,0.110372865932748,0.146808949815528,0.0473442665847453,0.127734478919027,0.168559386416509,0.115862142606466,0.0360352295545227,0.425110453138,0.574749946036767,0.880606564283957,0.678768404406345,0.0512182250422407
"9","1785_dna","Acute","b_cell_memory_1",284,0.00310067363226447,0.195776492724287,0.131596765294373,0.468471221402439,0.245131335668897,0.320846235057144,0.317520823754634,0.0904645568358628,0.168085632870764,0.147290139333988,0.173228784106583,0.263184300895652,0.111978357245126,0.645235886982888,0.403190189300614,0.703111463301654,0.0643683701905391,0.24974767010826,0.490717683890687,0.150740375265173,0.416403640559125,0.0938876879505998,0.766407551975277,0.678979531805768,0.418853311385069,0.149024017320748,0.103118217855092,0.18500771494124,0.0703435019715575,0.204085572030963,0.163352888010384,0.187953312486299,0.0332597682593564,0.136597578392477,0.572407956490396,0.867232653990601,0.650629413101122,0.0442207832501214
"10","1785_dna","Conv","b_cell_memory_1",3088,0.0130118024801642,0.186731833066164,0.107996766747992,0.485224556688419,0.292332041135918,0.295594726680365,0.244226447079747,0.0890180664659364,0.149491575864591,0.135393094578787,0.167940446663107,0.253059314708219,0.104965654807672,0.688749378218457,0.414531943415731,0.688654737746949,0.0535393411162476,0.275705668246772,0.445623755199755,0.174262350997858,0.355637723167068,0.0982779658131945,0.719059551561312,0.681644654307719,0.439629301207339,0.154284337239893,0.153495201192801,0.175984025069578,0.0802423829341585,0.170310448675666,0.116225843528794,0.17015914502351,0.0337799582607833,0.222466415342807,0.694476834527785,0.869733953032059,0.613404339870666,0.0398375412415814
