"","SampleID","Treatment","MetaHybridLouvain","N","Freq","CCR4","CCR5","CCR6","CCR7","CD11b","CD11c","CD123","CD127","CD14","CD141","CD16","CD161","CD19","CD1c","CD20","CD209","CD25","CD27","CD3","CD38","CD4","CD40","CD45RA","CD54","CD56","CD57","CD66b","CD8","CD80","CD86","CHIKV","CX3CR1","CXCR3","CXCR5","DNA","HLADR","PD1"
"1","1758_dna","Acute","b_cell_plasmablast_1",580,0.0100589663544918,0.459125963536392,0.0972946750314363,0.354173210653621,0.450172730317046,0.277796078229981,0.154560162883014,0.164549864387448,0.104794847483438,0.160764951871926,0.159372530464588,0.179990893343913,0.164261778502635,0.52523876812829,0.155855091562848,0.418120544436163,0.0876306475248995,0.294692156810982,0.36918644454282,0.332683492954021,0.674811183199679,0.0890594732275929,0.668509196893552,0.637536066569103,0.295985023812754,0.201039568340438,0.102905266820752,0.162405726373713,0.0509886623700692,0.192077167490746,0.286983763327222,0.151488893668373,0.12628040591982,0.2358229532117,0.384778162099376,0.888735632530649,0.607438074820416,0.0448972243243204
"2","1758_dna","Conv","b_cell_plasmablast_1",5387,0.0251464581631462,0.525929726161389,0.0887522152898079,0.448425577736391,0.389218861723232,0.289365340258496,0.138545237338453,0.153495253057751,0.0943337083176991,0.164243882003408,0.161991612699254,0.16246028482791,0.136960648383335,0.53520721992009,0.187214190247379,0.460790634121656,0.0792928573551756,0.244129107306879,0.236611690312045,0.282445581864245,0.599368684655839,0.0914207860322357,0.709162684051183,0.578936295721575,0.284644787885839,0.195546269957271,0.143117124844281,0.153368660345601,0.0534161319930598,0.210367743674743,0.241467772769404,0.117784869982579,0.0964288374137392,0.247974016612584,0.481029932486281,0.891078726310043,0.601867256563824,0.0423172469470797
"3","1760_dna","Acute","b_cell_plasmablast_1",1569,0.017462631748823,0.512643053186332,0.0956401584460336,0.383772391737069,0.441725105246177,0.249492630214261,0.128039859962432,0.0921655801514565,0.0956954242065446,0.131904916404323,0.0987805548421267,0.182194390265995,0.138220373404387,0.47511896351308,0.149508092483152,0.523029992587937,0.0782738817472685,0.238319544758619,0.23675746481116,0.219247036650085,0.585354083032403,0.0629976761782413,0.639208698153772,0.514165245864002,0.206150346098358,0.177543764727788,0.087342749969287,0.166049511208371,0.0325194397918266,0.21369889290363,0.177236773419492,0.179446167226039,0.118620985108027,0.312824584512459,0.356144214433888,0.868060531536847,0.548517546819964,0.0385417921472552
"4","1760_dna","Conv","b_cell_plasmablast_1",4096,0.022402957890534,0.541033819971753,0.082478216093326,0.474883527157979,0.433054167392041,0.26218487221953,0.119128306927777,0.0890448164282569,0.0901556301440472,0.12795328300496,0.0924286584185937,0.182441608054045,0.125199173822968,0.508931611304322,0.163322840556009,0.554254088769387,0.0730601482701114,0.199219247214477,0.161598043555068,0.18155075248857,0.491579811991074,0.0675032698469856,0.61535754422374,0.510683088600435,0.167728268127527,0.183562280303961,0.120245285147384,0.161665459347556,0.0376248054123949,0.192443808328526,0.15260499703525,0.0890795785968579,0.0873180675044736,0.346908257861133,0.504382841301289,0.870134991375185,0.589296367234308,0.0354756624812201
"5","1773_dna","Acute","b_cell_plasmablast_1",473,0.00937357563266681,0.57257793367062,0.120641709790805,0.437022765503036,0.458688776130427,0.274821745329571,0.136092162251476,0.130432760910331,0.10163628912018,0.141399396484246,0.100333694216472,0.200599242144079,0.125578308995156,0.471310754180823,0.174366485061759,0.537635630609693,0.0746407502738521,0.235512416919622,0.233910539179722,0.219367674828392,0.521932369966247,0.0694044039546611,0.646200399313708,0.50630097114552,0.228101980278934,0.20591867439428,0.104098700263029,0.180553007639641,0.046360102822431,0.252151721395218,0.177550351009,0.141728783313525,0.115057483335402,0.336666037011072,0.456194909848821,0.860710874644574,0.556699654142106,0.0368539621985856
"6","1773_dna","Conv","b_cell_plasmablast_1",4356,0.0199495308013245,0.331795959499085,0.0896996268080329,0.203055701049676,0.42297818888946,0.268772216087629,0.0971310415419669,0.133559185121172,0.0624422016692102,0.12381334183765,0.0653301059361509,0.10096303850499,0.191973181288154,0.469297559602645,0.095744481853487,0.303864410059767,0.112811688240772,0.390121337762638,0.407840094670345,0.360222914905389,0.71783701205883,0.0682977037130595,0.541950423958947,0.479239980916422,0.276090799294845,0.196770551694777,0.129238271127133,0.117492188045618,0.0507058805014665,0.21084917990904,0.41202734296294,0.0855682299214389,0.213167838311371,0.400365379400412,0.160117437886276,0.892436421880637,0.621631187764121,0.0469555470218301
"7","1778_dna","Acute","b_cell_plasmablast_1",161,0.0550615595075239,0.691800733228736,0.0997251490555666,0.453481114815001,0.407559371343525,0.215958661985818,0.143024756824933,0.0826281564789173,0.0955896471484449,0.0938362281207652,0.0531016297262383,0.229866715354817,0.0710543149429017,0.426881087409647,0.18690304202968,0.58225498925185,0.075202832953298,0.192484177877459,0.113016254998096,0.128959519172576,0.360854069809443,0.0345428106786716,0.548040578906886,0.409228087985548,0.107048946463622,0.22531520464288,0.0678530524881604,0.159631702156287,0.0379638244694776,0.213793892058579,0.136010998224175,0.101563109461777,0.0501559831511554,0.50044692076414,0.349722728299717,0.833861676736344,0.522073032594276,0.0273201447849476
"8","1778_dna","Conv","b_cell_plasmablast_1",3681,0.0667053259155899,0.719689404594839,0.103183372806657,0.534993811266644,0.43277232408166,0.205010617101807,0.113834661450687,0.0920014019812606,0.0798558807097797,0.116026243237804,0.0539929229019126,0.200465825796616,0.0857650244377421,0.38852199872341,0.199521024729952,0.572965310312752,0.100122660669061,0.168566964770251,0.10500108218471,0.123208222963893,0.284487780804075,0.0481452623951626,0.541118125538615,0.389894122926067,0.0838906340169963,0.274027914809106,0.0665224015250035,0.152008482815288,0.0310155197800093,0.218116700979636,0.0934907527293011,0.0690787808496121,0.0510876248017023,0.570584646440649,0.476620394230893,0.863336731236477,0.544545387140292,0.0343691979688382
"9","1785_dna","Acute","b_cell_plasmablast_1",1567,0.0171082943019663,0.28174265611298,0.0908240568578729,0.160925997027252,0.4737611481219,0.182206010358127,0.135221694752145,0.127641784816914,0.0443838383942273,0.125923915204822,0.0949152664050262,0.0978797990039808,0.212486488483589,0.454481725062831,0.0925760619258355,0.203010077993949,0.11590949816507,0.457817998471385,0.5508457272483,0.387313438024189,0.799427317717683,0.0654970526658831,0.421564591258419,0.569717702880636,0.288391345996673,0.193105435843631,0.0737725806722995,0.106428734459155,0.0377904219032439,0.21862195689914,0.396770000106688,0.0840109925830558,0.230993961623984,0.333832955913562,0.116465480798863,0.895659668236557,0.514214530414082,0.0431123565787416
"10","1785_dna","Conv","b_cell_plasmablast_1",4198,0.0176889724131247,0.466586941354222,0.0848076032860536,0.301686597004412,0.404039510585724,0.227664366378948,0.134015070553403,0.0965541220168659,0.0756556152150756,0.107617550791098,0.0742332905449359,0.141637058551492,0.127944107517025,0.478460733175084,0.143891863737891,0.456999305474041,0.0946598064197509,0.250678995809773,0.193291867613976,0.229221527030503,0.513142858964257,0.0681856187902008,0.520702011638659,0.491432006649721,0.214052071872194,0.183280749841768,0.0963958358058425,0.129188327681231,0.039720976726223,0.200937146835264,0.240628050051195,0.0923833459862562,0.108038086690351,0.391422358268516,0.368143243467979,0.876046847035341,0.585963111850666,0.0363294714641606
