"","SampleID","Treatment","MetaHybridLouvain","N","Freq","CCR4","CCR5","CCR6","CCR7","CD11b","CD11c","CD123","CD127","CD14","CD141","CD16","CD161","CD19","CD1c","CD20","CD209","CD25","CD27","CD3","CD38","CD4","CD40","CD45RA","CD54","CD56","CD57","CD66b","CD8","CD80","CD86","CHIKV","CX3CR1","CXCR3","CXCR5","DNA","HLADR","PD1"
"1","1758_dna","Acute","cd14_cd16_monocyte_1",16,0.000277488727020465,0.251733391320552,0.151475534801931,0.0860702039714129,0.318078965623938,0.747364679672906,0.708967320491234,0.406999657771405,0.028574842557858,0.787715847536733,0.298901073740109,0.590291442901759,0.297004296004894,0.103508499484055,0.0831141144352754,0.0542655347898199,0.161647577894907,0.203525166971949,0.059405009604285,0.317060451773445,0.721128432726638,0.29423836902422,0.484245713485701,0.562531624362335,0.580106649452255,0.642229891437526,0.24914534060645,0.107445313737601,0.0812745090494065,0.163333878333369,0.525183048440877,0.418546820387733,0.243793922984034,0.0585595649622885,0.114223663255291,0.926315093554125,0.525289428861582,0.0903059428526789
"2","1758_dna","Conv","cd14_cd16_monocyte_1",152,0.000709534368070953,0.232554543705201,0.133680093190218,0.0743172710397455,0.197530233230876,0.786831108000693,0.79790312244573,0.336182570219686,0.0765590917825689,0.785117562415749,0.258886774725284,0.668635571833609,0.389923533582234,0.123269449003277,0.123525183601316,0.0749178888533806,0.12307580407382,0.237793964866676,0.0772216713195259,0.239181234947372,0.677870604115084,0.333730761941978,0.393886521195128,0.57091208262912,0.66767851628837,0.641256117992364,0.443319338434466,0.220111066398923,0.130871594097779,0.152515667090602,0.59617255077695,0.18529892075464,0.234867643091823,0.0786335804389789,0.0568665144124292,0.93538928532092,0.558953638894446,0.138409469135875
"3","1760_dna","Acute","cd14_cd16_monocyte_1",74,0.000823604046789614,0.171828369954729,0.167478530850367,0.0935407320363466,0.292014169679196,0.695531326509586,0.666523252189156,0.287969439993001,0.044911307131893,0.630607175817767,0.329633257397309,0.769101179374577,0.429337283386488,0.107734280653914,0.112903710745706,0.145774957312466,0.23368667712324,0.297980438391322,0.0916485792898546,0.314621253934203,0.729462015990511,0.3281539338939,0.5085099796412,0.510609928669392,0.510369956434326,0.392906906198359,0.298243276951852,0.196950172101874,0.156515803270399,0.150644433070005,0.422928980586831,0.24595340109912,0.325276408791874,0.0882504214447404,0.127801835306542,0.902258261001626,0.540175878831467,0.0942638424120415
"4","1760_dna","Conv","cd14_cd16_monocyte_1",384,0.00210027730223756,0.189829724548626,0.114291385091725,0.0779195745521527,0.206007178373309,0.604807820669181,0.677944650464809,0.161698227896545,0.0681444435702778,0.495785713237685,0.185966152908953,0.802933446911573,0.496497514327836,0.138779504887354,0.121677178834212,0.101920652480195,0.132880257480532,0.233412692519118,0.0728907046800829,0.27735990670159,0.686278314663535,0.28658823894446,0.363032208151785,0.485977144230356,0.399763988839563,0.305675004310815,0.270386000550173,0.125324990674536,0.171131871768806,0.104780366458139,0.315354833643501,0.0841926254212089,0.249019783654251,0.0839561054795217,0.0507081245288401,0.889258299005575,0.429684254147632,0.113950297555299
"5","1773_dna","Acute","cd14_cd16_monocyte_1",69,0.00136739263986049,0.198361928532743,0.228375221448146,0.0781482251867367,0.336317244484644,0.726620242938193,0.69734969274486,0.368975402864035,0.130321195836423,0.782574795251568,0.326257339541886,0.682546965323587,0.374550307856872,0.138442814161358,0.12149532365321,0.121317601600564,0.242721836312713,0.374447703763761,0.0999426361669729,0.336904827324617,0.736817903069487,0.422916326704257,0.48842815744988,0.530639168054622,0.568991815946092,0.530459706389759,0.544375862369167,0.318057155878174,0.160364424113409,0.187167333739361,0.54920279951515,0.400337824409882,0.413281256033532,0.0868173695840778,0.17808503413386,0.908768581688164,0.558843502729995,0.109738855289631
"6","1773_dna","Conv","cd14_cd16_monocyte_1",352,0.00161208329707673,0.183027907266854,0.206051059370008,0.079650701276157,0.201895583448259,0.781836896645216,0.751515011168742,0.236203004658014,0.108052553555547,0.788999078958186,0.235671185883884,0.641050710378978,0.422595609532672,0.146242901281211,0.137736925534149,0.0862784097960093,0.128558262585087,0.33735711578755,0.117279887897809,0.306338313811679,0.666042214093362,0.464839816335073,0.283856018636736,0.544596165953163,0.573266640916377,0.568237510183132,0.551328582487484,0.334086903781055,0.158798348906986,0.17754816112314,0.57486231369843,0.211774956410665,0.273728923757259,0.0980092402307657,0.0572736447345958,0.90871843749384,0.598358584771156,0.126856783520238
"7","1785_dna","Acute","cd14_cd16_monocyte_1",220,0.00240193027851473,0.156725003119489,0.188065192946654,0.0648746620876846,0.362001608180329,0.717500751229044,0.741331192564906,0.438205393781826,0.0627959174384529,0.689123073627038,0.199573772432964,0.697479434129361,0.408012915917258,0.122472373247957,0.0947433289570482,0.117672802050812,0.238724480269914,0.354147860389338,0.068686861277709,0.338649446349386,0.7611903111057,0.388493834013222,0.510363188350739,0.472409777544429,0.651646566397808,0.489862522864446,0.310106528489043,0.17349871606506,0.154068981611438,0.17004893011566,0.565094672441486,0.364018587050186,0.431561381159184,0.0851025586599592,0.147388604577459,0.916374072482554,0.555315695687311,0.124901715292026
"8","1785_dna","Conv","cd14_cd16_monocyte_1",416,0.00175288530820864,0.214350503226438,0.15118845801034,0.0593584542945346,0.217427635405262,0.802345743126894,0.777929549455081,0.197396356761811,0.0740891847980926,0.759684655718996,0.196044752122126,0.552195223780902,0.45825718506946,0.105550544960717,0.101600597907383,0.10445722311099,0.139084243191236,0.256118606224904,0.0667991474178274,0.28668168363214,0.670720980953659,0.423903102333426,0.271838910041995,0.468475774727711,0.60888189543386,0.507415428850778,0.369672746059092,0.152455338040841,0.147521384359522,0.143080033553561,0.570852238007661,0.193117065868294,0.393093239428176,0.0800772605248618,0.0637119019826377,0.929525773699634,0.511770612589452,0.125412915781998
"9","1790_dna","Acute","cd14_cd16_monocyte_1",137,0.00091882176199163,0.162570506350494,0.240649071536151,0.0827791164394685,0.326515067345701,0.793462562700029,0.704629857974538,0.476789083826051,0.0817685315504738,0.819142273393763,0.247530782955724,0.624958052135933,0.295878434722757,0.120179975329731,0.113894997491638,0.0697819963850622,0.270213005115759,0.372996533652305,0.100583392788936,0.316749785051209,0.755454338674649,0.318059143630407,0.570107617865614,0.530429718093428,0.597073694221337,0.616429350643474,0.462652706075283,0.331813878513929,0.124156709339393,0.271711076832054,0.58744109619063,0.454849816950932,0.399232797436175,0.0814057631758084,0.15029649739148,0.896422979098832,0.68534423898782,0.112468554644637
"10","1790_dna","Conv","cd14_cd16_monocyte_1",140,0.000565956122230352,0.258383354894814,0.165000227992494,0.0713702764258859,0.144080550986407,0.815544296914835,0.806585921005511,0.22499550260487,0.0762848013938497,0.728476546766663,0.268781036099643,0.671862691121081,0.306924936761583,0.148164593187528,0.12718049361636,0.0388568782944744,0.107744483047744,0.285915130701478,0.085501845642824,0.254934006794906,0.652847366824995,0.479663399365718,0.289928951090237,0.567397254903416,0.637340057840926,0.617893211998874,0.484930269330864,0.250474073397181,0.130455828834643,0.199387500868769,0.605318956146363,0.138085510926136,0.354010278874548,0.0842832603818524,0.0418351667964148,0.902201464216333,0.623551728332739,0.139078409497865
