"","SampleID","Treatment","MetaHybridLouvain","N","Freq","CCR4","CCR5","CCR6","CCR7","CD11b","CD11c","CD123","CD127","CD14","CD141","CD16","CD161","CD19","CD1c","CD20","CD209","CD25","CD27","CD3","CD38","CD4","CD40","CD45RA","CD54","CD56","CD57","CD66b","CD8","CD80","CD86","CHIKV","CX3CR1","CXCR3","CXCR5","DNA","HLADR","PD1"
"1","1785_dna","Acute","cd4_t_cell_em_NA",2696,0.0294345637767078,0.633039325755245,0.106888753174218,0.0922674351267449,0.155687284768969,0.0682731999862442,0.0613799849753596,0.0246335340823331,0.570457226685991,0.0569658816140334,0.0614698648673804,0.0371015830971028,0.102022131963008,0.035561692354053,0.0356598179151656,0.0565157854536648,0.0281771353939999,0.386102095674993,0.0611929234931354,0.682743837017854,0.130412848539162,0.763453926678173,0.137765151074462,0.0984448873648394,0.239301448213946,0.135630330602328,0.0865428482818724,0.0264023039857855,0.203410536663142,0.162860176909126,0.0245411713139901,0.0129735031184479,0.0312691585635064,0.0748505332056734,0.0199811792064954,0.861477717691938,0.100471062056183,0.216877893992553
"2","1785_dna","Conv","cd4_t_cell_em_NA",6101,0.025707579964858,0.66341386397036,0.137638683315139,0.100268249509662,0.208688994842304,0.0643590887927156,0.0575753405846197,0.0223291909538915,0.526860008966782,0.0518529126723944,0.0739532635702686,0.0393645804376673,0.125741767650535,0.0463065955329218,0.0367643176949678,0.0852714034973044,0.0360428702863445,0.326595751111645,0.0709515649288839,0.675463383507827,0.122994596968119,0.791850977396847,0.16061435532398,0.103625994409434,0.173386449783897,0.158772060236288,0.147266116283428,0.0307582883431333,0.223921123794913,0.191694494588096,0.0245220930377735,0.0150214564483251,0.0343300030651242,0.176579564783794,0.0265140886744089,0.858225563537302,0.108046692249244,0.200463844260564
"3","1790_dna","Acute","cd4_t_cell_em_NA",4537,0.0304284257967593,0.411688645619499,0.212144329708207,0.216997933907522,0.16824069871687,0.0637710880353771,0.0382686352476742,0.0439256296973325,0.571649810260051,0.0600576406380667,0.0659303848801577,0.0403313184648068,0.135163039867092,0.0343251251582717,0.040196549029488,0.0287756492888292,0.029502648775934,0.280022587357489,0.0640976904731295,0.697333496488819,0.138290826182117,0.74660280285052,0.0907995736716273,0.0996422276168737,0.203644784388356,0.143770436491024,0.144851373698911,0.0504074490423853,0.19689168612752,0.110006546439041,0.0243022085096535,0.0171834064843904,0.0321018372558386,0.054325849657972,0.0125222422236614,0.809979301334581,0.150335211219084,0.350867415645884
"4","1790_dna","Conv","cd4_t_cell_em_NA",4450,0.0179893195994648,0.581741972276567,0.236348800426705,0.220010719312451,0.178935344018231,0.0661650697876399,0.0396898780029383,0.0295169086099729,0.558244803090145,0.0499432001112309,0.0932842643673637,0.045762596991079,0.159672272769512,0.0444585673102132,0.0425588349261244,0.0349411382431306,0.0393279543584008,0.340906315912799,0.0599131728425169,0.7129843606647,0.0979338070112074,0.821293951292823,0.145065678596731,0.106059140106948,0.173956595911797,0.18403479965501,0.204069340439993,0.042696827657807,0.272730650260829,0.218360090399182,0.0257302796518216,0.0194730773638894,0.0568548817100948,0.175658833556005,0.0160441311865958,0.814667349818417,0.165534807378086,0.33396441839935
"5","1793_dna","Acute","cd4_t_cell_em_NA",1101,0.0120955781378742,0.56901617420499,0.175114999619443,0.314375945636927,0.14219642168125,0.0587744563384343,0.0386455750824271,0.0256539199978952,0.58970563392838,0.0567003939355246,0.0770115534054759,0.039188292554653,0.207430007514641,0.0375132158143423,0.0433791344990006,0.0318867398651639,0.049019425608776,0.360652848845341,0.0668656167170485,0.70166419354727,0.142201079277632,0.771525452426983,0.136977880068608,0.0985681794596449,0.204330851020689,0.153486351273842,0.122145995779722,0.037513327490377,0.232635334868959,0.180636924987499,0.0320757937895803,0.0167419227475237,0.0406098630872221,0.124013633056645,0.0193796801130353,0.858360034519976,0.104154073643798,0.270170822352432
"6","1793_dna","Conv","cd4_t_cell_em_NA",1970,0.00676088433739902,0.628230933386107,0.232812330048107,0.234479452115848,0.180577985442706,0.0654154615497578,0.0402593583559752,0.0267223913820257,0.583155545326921,0.0582981600948703,0.0919980370627799,0.0471134547284279,0.21722137918164,0.0472212641774375,0.0466688184216967,0.0544841327309184,0.0523547854064321,0.379036262866065,0.0749743097586388,0.700286400283394,0.135731576638898,0.821609404908493,0.159872613065173,0.112354463829683,0.179287019331086,0.187359945753281,0.177893944894539,0.0376544614440055,0.278210406735435,0.236140247341593,0.0334430340457334,0.0219359493017155,0.0446820902203175,0.152376024303292,0.019132043987154,0.857918259515171,0.103798203804193,0.247299660823731
"7","1800_dna","Acute","cd4_t_cell_em_NA",2856,0.0285777181852749,0.567350962036387,0.135201644992585,0.162723119242439,0.1427181271686,0.0429823450332093,0.0277534087758524,0.0212314768623598,0.633325227400945,0.0422553406216298,0.0608989868296051,0.0391277224064452,0.237774241903833,0.0368013708064287,0.03543220413437,0.0742327403866196,0.0477861981443188,0.398985230006665,0.0626708674065756,0.693897015338845,0.110043252247324,0.737966947657532,0.13159500714241,0.098589971925772,0.191455266550093,0.133516243215988,0.102400792523835,0.0313400891794492,0.193456874429499,0.155816650037705,0.0238429958978793,0.016098980380503,0.0343396938623539,0.0783801395581252,0.0159547277053629,0.872684257581783,0.0803634918238192,0.171232605916594
"8","1800_dna","Conv","cd4_t_cell_em_NA",3399,0.0147871331494549,0.665138752628562,0.165861875800049,0.193734604249297,0.160004741580112,0.0508394193835332,0.0316818267166507,0.0223875633998359,0.624833928894951,0.0478154720695733,0.0844607390682958,0.0422583385531142,0.26233469224321,0.0430719255188956,0.0437911891982955,0.0557110929396522,0.059222419908036,0.406027522652035,0.0552258512200254,0.70629276497309,0.0889324048860505,0.822529640338569,0.169936554872594,0.10262718879007,0.169118957693844,0.180232022120435,0.171728957697823,0.0363395860578383,0.270695688392687,0.24050454360212,0.0236791187556104,0.0194047292693962,0.0427093250509139,0.149305830810459,0.0200312922435982,0.870896166102226,0.0952174185931481,0.161477819386097
"9","1802_dna","Acute","cd4_t_cell_em_NA",2410,0.016366612111293,0.44116493233269,0.178481231030393,0.140901202389093,0.148154330314617,0.0702262551349803,0.0398526147955159,0.032695496289146,0.511047716949411,0.0615166677189505,0.0607657534620611,0.0489353941760939,0.1607130230164,0.042222217907335,0.0372547016692576,0.0527622360237999,0.0310746953006835,0.284428878823796,0.0630020640960818,0.71544388746233,0.202053802960617,0.755928041027489,0.119604258023966,0.140158650063449,0.207758524995908,0.146730033635882,0.178959749485939,0.0685742139197172,0.183799930699121,0.138051058171284,0.0270509960546811,0.0127312172323131,0.0685337327127186,0.0640107641207531,0.0159161934826562,0.845513873549115,0.124335016738068,0.289998383201617
"10","1802_dna","Conv","cd4_t_cell_em_NA",1927,0.00839808765912567,0.489086969661413,0.187942588678676,0.118644515302381,0.157762064565532,0.0772282310832597,0.049200907246303,0.0369957376156803,0.424797166079401,0.0581433758685378,0.0727314161309014,0.0512979384633445,0.143128879030726,0.0472101485324802,0.036206931485566,0.0489676637436637,0.0341916382290038,0.308338452793217,0.0661513392373543,0.701367597930188,0.124253545196253,0.79504440701674,0.136169506764652,0.149836293471022,0.163141598127531,0.168107926444935,0.205925625862509,0.0708140996727524,0.223681628183189,0.178665302670026,0.0232540027577735,0.012710952173116,0.0783692704918747,0.0979511082009845,0.020234099425462,0.844878893566365,0.137567637087389,0.215985403881032
