"","SampleID","Treatment","MetaHybridLouvain","N","Freq","CCR4","CCR5","CCR6","CCR7","CD11b","CD11c","CD123","CD127","CD14","CD141","CD16","CD161","CD19","CD1c","CD20","CD209","CD25","CD27","CD3","CD38","CD4","CD40","CD45RA","CD54","CD56","CD57","CD66b","CD8","CD80","CD86","CHIKV","CX3CR1","CXCR3","CXCR5","DNA","HLADR","PD1"
"1","1773_dna","Acute","mdc_cd1c_2",107,0.00212044945601554,0.18045112862838,0.711478480868787,0.0857835517542014,0.265449047581408,0.441985070140061,0.839129820608016,0.51501649265168,0.0528979277248582,0.331871156594777,0.538180722495224,0.0572051778693091,0.0755519705404574,0.0566906598148527,0.165039469120319,0.105738000172663,0.227521541561493,0.154579450579426,0.0638845775968895,0.254806205652676,0.633199883296455,0.423800175154875,0.443394082534058,0.34772114680109,0.640949630405362,0.112779206816228,0.133872495562749,0.0558528361897233,0.0761648940479246,0.114949122369133,0.479446833900229,0.368288184432952,0.319387174099288,0.112832449513942,0.230060054472853,0.896738466348896,0.706097631372227,0.1625848036105
"2","1773_dna","Conv","mdc_cd1c_2",37,0.000169451937476815,0.0861501981693539,0.543688739482518,0.0416334554926612,0.145722754385346,0.433293129331502,0.725547507265719,0.725904778184925,0.0517887842278747,0.111240021936098,0.565745190491403,0.0515593230966284,0.0745380575373162,0.074539035599391,0.0864065326837289,0.031577601128011,0.0692287121405403,0.136259618494195,0.0594621079234908,0.204760140296896,0.61061879029117,0.427735509666113,0.0918359684111118,0.545287271109867,0.656099213961874,0.280848448211585,0.134124274581117,0.0786959467433656,0.0751956946842521,0.0640770119148559,0.263595835060965,0.0846375274471411,0.0841551135095685,0.38138090036904,0.0862657419879708,0.866963869653725,0.765213390806965,0.115663182455552
"3","1785_dna","Acute","mdc_cd1c_2",267,0.0029150699289247,0.124459089448108,0.635673480515255,0.0570452859890927,0.203766820955592,0.446914290435594,0.802757173430531,0.544851269150551,0.0292617588536628,0.272723875382198,0.408641855503942,0.0685313619280428,0.0611577576634353,0.046691481085289,0.229023852288087,0.0924133210102218,0.244982734760997,0.138028646455509,0.0562611910775401,0.208096061798246,0.586835201465194,0.426536615717235,0.392675932382189,0.252032201592184,0.690583195721008,0.123323584026522,0.0951267732621177,0.0500760006231825,0.0684129895103411,0.0940262853019195,0.5099752501602,0.331330401303904,0.292866935208071,0.119305060804207,0.155505375771775,0.891293990655753,0.763052423109408,0.149420344614545
"4","1785_dna","Conv","mdc_cd1c_2",127,0.000535135658996389,0.374364514384896,0.530564843655321,0.134560770696979,0.230540918019038,0.413153240690193,0.788284975504344,0.418738786184711,0.0944343554511216,0.140487661063756,0.318731000841441,0.058025895612726,0.112797051710268,0.0669838433844143,0.449954641582542,0.0894783965852417,0.11127249779384,0.150974569182648,0.129162764066737,0.280516054627466,0.543774522258633,0.484195674045074,0.241783227870804,0.299535274732671,0.561860368408907,0.193823398450491,0.130876406415544,0.0681258532567228,0.101414930988359,0.144447262807072,0.288498102667332,0.113749842358872,0.140289031022037,0.27587252588474,0.103945260624277,0.900733012593597,0.740824106637265,0.17204016700358
"5","1790_dna","Acute","mdc_cd1c_2",357,0.00239430196373001,0.158284399406407,0.611774405715783,0.0597566816825786,0.237703773951092,0.515691439117593,0.775542062297793,0.580961818245554,0.0277646963123128,0.361349713585743,0.444448825896685,0.0434397052352155,0.0815078996051121,0.0495309286227522,0.177179901112434,0.0574890707674669,0.229192392628706,0.168423933746292,0.0575294301293093,0.193245317081236,0.631661681077837,0.37436797353924,0.596089991595766,0.29374484707253,0.681007103473532,0.168627283222559,0.156183503913209,0.0704758432534791,0.0689580700980234,0.160279553185067,0.577507232990951,0.338940860986264,0.305051254459388,0.124524696081226,0.14128408955681,0.816025180401891,0.798760749988893,0.139514032352205
"6","1790_dna","Conv","mdc_cd1c_2",311,0.00125723110009743,0.07602296968134,0.522104682205875,0.10308848879867,0.108333610260213,0.422605814931905,0.787570232869753,0.539102091953966,0.0267427515133051,0.0886093862474149,0.328073628006034,0.039934964509679,0.0614998976808443,0.0435151823767003,0.499103567027851,0.0206003413726769,0.0908605025621541,0.130432375529764,0.0571950379903854,0.226365423503222,0.570257078850605,0.458662360550157,0.0653359574262925,0.362332772141064,0.530998215424361,0.421153555874242,0.142977758463716,0.0468440047473343,0.0971118649047688,0.127606910047612,0.283939116899286,0.0551352829548208,0.0512473234982064,0.251049398786466,0.0504462738638402,0.821992165715651,0.78707492057666,0.152977437462679
"7","1793_dna","Acute","mdc_cd1c_2",151,0.0016588849217248,0.075474415489774,0.693889490991612,0.114977866940294,0.165366687638799,0.421141646167069,0.847389150878407,0.553117824924835,0.0254386960456164,0.11369502813262,0.417487972324282,0.0400733270184732,0.0547562413876988,0.0490651398503025,0.35491998429638,0.0373679515641539,0.136632224075558,0.155823624010126,0.0712263371645346,0.174219943434995,0.610588947806704,0.435653587191475,0.163423304034076,0.31105974915787,0.593201116339771,0.196481743434929,0.102629286069987,0.0418948966571543,0.0835480880191871,0.0916725636713771,0.407364763378326,0.198721290244109,0.160287492439705,0.167283942412882,0.0729134230645522,0.869841063903713,0.760806112297362,0.153273082956063
"8","1793_dna","Conv","mdc_cd1c_2",334,0.00114626160847273,0.0807565871958449,0.582207035092442,0.137671675254948,0.114092251536623,0.474372829107516,0.831592283341885,0.429944419287327,0.0316405275503072,0.122787645857445,0.370961191078355,0.0443170211570703,0.0562290515640981,0.047273744199036,0.568186445442207,0.0410420041495026,0.119902416693015,0.153328235280439,0.0762827610795137,0.22782925422808,0.57225263049679,0.505611747958007,0.0832297974525812,0.270509163767743,0.52729438996727,0.4613060217558,0.110014683741259,0.0410697613000875,0.116742648834186,0.145235101094264,0.312778646618227,0.0842750932102345,0.08288035229499,0.222768706542527,0.0404701013428983,0.872455994157751,0.796930143985828,0.152551662449704
"9","1794_dna","Acute","mdc_cd1c_2",24,0.000708298902136702,0.236979834610125,0.683969862563944,0.103601595582876,0.299013330507482,0.471009638206997,0.791223778471268,0.544970041009172,0.0104308184633264,0.366162522754258,0.628229102372291,0.0919425966216793,0.0762741260608406,0.0527383398557887,0.191643412276913,0.130352891505703,0.288491926639246,0.192412055391139,0.0632891650249406,0.227290871493982,0.664649136828027,0.43039576191303,0.687301843805436,0.365964852688338,0.730176810425915,0.191750979865473,0.121401705640452,0.0564915184779589,0.105662778628595,0.253078468119055,0.646699597804039,0.407929951668557,0.338741587379197,0.128914424779513,0.204619450635413,0.85325894597498,0.786566057728527,0.125410465663518
"10","1794_dna","Conv","mdc_cd1c_2",58,0.0003325249537045,0.0768877161578397,0.587441924124457,0.150441737603685,0.141497830653252,0.451842902402347,0.845423089986804,0.537081561492454,0.0312840879565215,0.113169968647253,0.421514331964093,0.0534729308776464,0.0648458180233215,0.0520196621479134,0.575812586826278,0.0626033337684464,0.099172900408096,0.142638519661002,0.102941882466834,0.288508656560385,0.580346620525685,0.493485707005816,0.0852285967076303,0.361877686584577,0.60717923051393,0.538708366555934,0.143236373724626,0.0577929111734518,0.0915838649556454,0.160192711553196,0.375014152778876,0.0672608170233558,0.101189118246933,0.277954788774223,0.0627545013353658,0.850101669944676,0.816927482131987,0.147810529821079
"11","1800_dna","Acute","mdc_cd1c_2",184,0.0018411415077348,0.19841940769861,0.703315267699581,0.144783667406344,0.198661223295521,0.542601215603823,0.807258789715488,0.450211891033387,0.0642816919283089,0.274600785440886,0.46297810826951,0.0677654433272825,0.0950790336055378,0.0542461206287176,0.354887483529155,0.0962634646828858,0.172660304823472,0.160302654556166,0.099942165897754,0.249017904559655,0.616745698176407,0.530558872271844,0.550175284993437,0.276151043677735,0.744869464054088,0.170182703588126,0.138482082493542,0.0813408274783876,0.133001146300619,0.162929676686774,0.57186836793152,0.206661176561238,0.142195323255984,0.167363713254353,0.0785777786633542,0.902167490158653,0.830358960537448,0.162396498154913
"12","1800_dna","Conv","mdc_cd1c_2",558,0.00242754348261131,0.187077460709934,0.532212967416186,0.271632342455973,0.171770098821792,0.418715875929891,0.783707000790304,0.421085769565245,0.0857308413853765,0.101044228585169,0.315902805380895,0.0548308578170041,0.0838105544331408,0.054781243863792,0.615528116700593,0.0481367955859055,0.108936485584144,0.180027457326557,0.168693530760817,0.30088447749101,0.589826003030081,0.485077975373168,0.126151500448608,0.288657721292833,0.505873342361252,0.370354404490698,0.133510902953099,0.0450983965813879,0.123370026430373,0.132067022880967,0.31947990857516,0.0743626124422727,0.0657197671057149,0.221332333512448,0.0527418977153895,0.892956659544644,0.764672975919687,0.140790133088384
"13","1802_dna","Acute","mdc_cd1c_2",328,0.00222748911722161,0.141387054117956,0.680194733817286,0.110517051032343,0.174594856182124,0.464860211627668,0.833683425919439,0.431475059908689,0.0444904307119372,0.253442827289097,0.491442178279991,0.0651720058522978,0.0644761274162753,0.0579265118012707,0.296667400425748,0.073682279268896,0.162759871556511,0.132239797855371,0.0761580806874572,0.247113919666425,0.613764829514097,0.54269488906298,0.525076596228673,0.283352944882711,0.7242160280221,0.171728154724279,0.14526091677218,0.0535791596577558,0.116230967267484,0.149575493565224,0.515749308583424,0.164942528625653,0.188523119567587,0.164435671513143,0.103996162480618,0.874208369988518,0.765710623247562,0.175988679074273
"14","1802_dna","Conv","mdc_cd1c_2",196,0.000854190545505258,0.0881373605400892,0.504103452993553,0.127636224961886,0.125533931545932,0.397450964810704,0.797737134301471,0.46402765737356,0.0418455839655982,0.114205236923698,0.423041691830202,0.0618120000573274,0.0556192691385884,0.0735226406171811,0.525794301601404,0.0441338569701134,0.094533354644912,0.161180759852648,0.0775226829344541,0.230255376278531,0.553331826134788,0.519294620180832,0.141814797810306,0.371528290805407,0.555151709364936,0.431789268741743,0.12777195518264,0.0471775926149273,0.0911678595443867,0.180596817357387,0.311523990440929,0.0521475991194084,0.0695019168959708,0.258123114142185,0.0546649120308768,0.867591638465906,0.759061774766655,0.153470538843371
"15","1823_dna","Acute","mdc_cd1c_2",73,0.00272499906678114,0.157298329851235,0.703808750957874,0.143609547123488,0.185309014000967,0.573547653895506,0.83057605153811,0.458383275527191,0.02146080619397,0.277634057389476,0.540439249312108,0.0545685007152943,0.0855454894461039,0.0547841216998014,0.559558505830589,0.0502818634320816,0.272631905740651,0.155392039421069,0.0692877592598399,0.15098344253769,0.577845054577322,0.488636442237025,0.637350898701298,0.213501652605375,0.707716247950185,0.146531020013024,0.165960410859184,0.0584553664905317,0.0946593817159649,0.116584550584979,0.576557137272184,0.238342508299889,0.222155730060603,0.150957576428019,0.0856592523027394,0.886554698260278,0.889328432050573,0.186644614412806
"16","1823_dna","Conv","mdc_cd1c_2",8,3.8032755710856e-05,0.179973795210507,0.535417697044591,0.277603651397665,0.245338229111669,0.584674890999495,0.898230023845244,0.384535181396597,0.0455006556568667,0.167354183781979,0.512306331377489,0.0490871359173763,0.0590179917778332,0.138880719525207,0.74061634747954,0.0470692188610578,0.211165907892394,0.20180196715563,0.0368599222240141,0.218487896861141,0.534000171145095,0.604761560180039,0.591082073094778,0.227978082724901,0.789617772325315,0.190253810040494,0.131731932507891,0.145885387481439,0.151007457173562,0.203139068826805,0.607575238634904,0.192604807714081,0.154539684134606,0.181552734759462,0.0309550826684814,0.884788886393366,0.924905016633523,0.2516293041896
