"","SampleID","Treatment","MetaHybridLouvain","N","Freq","CCR4","CCR5","CCR6","CCR7","CD11b","CD11c","CD123","CD127","CD14","CD141","CD16","CD161","CD19","CD1c","CD20","CD209","CD25","CD27","CD3","CD38","CD4","CD40","CD45RA","CD54","CD56","CD57","CD66b","CD8","CD80","CD86","CHIKV","CX3CR1","CXCR3","CXCR5","DNA","HLADR","PD1"
"1","1760_dna","Acute","nk_cell_cd56low_cd16hi_5",478,0.00532003695088426,0.0557401452825816,0.0198081576726597,0.0555509044409477,0.206627874005882,0.418128423827159,0.525843172484798,0.0506837430482149,0.0426334996983371,0.0807783485512768,0.102386849668335,0.79406132310158,0.422521999878475,0.10081437263764,0.0934084458434129,0.0593613163585107,0.0756353665064872,0.26520531913138,0.0398978847180137,0.237929717466615,0.73640059470071,0.0700519759904049,0.259248576911293,0.449913202105059,0.226263284510576,0.468900076301385,0.132243817267606,0.0762517465410576,0.10379704640822,0.101781594300268,0.0223913964610067,0.0188747738831388,0.135580766719702,0.0345849939742874,0.0278113160684389,0.842932462468757,0.0826106739744074,0.0565125516748955
"2","1760_dna","Conv","nk_cell_cd56low_cd16hi_5",7123,0.0389590500620785,0.0498694614816167,0.0190816659514378,0.0395172978434696,0.154693382929015,0.361674004902452,0.510209910376289,0.0369281706515192,0.0451212866408289,0.0776276443081952,0.118686019297977,0.836027666292804,0.510250983544737,0.110650037165522,0.112091953917451,0.0665870703865677,0.0833237529645762,0.206104633038292,0.0432510793062017,0.205814299175348,0.685029042643394,0.0792963185509729,0.271123276717052,0.438054910313065,0.168348987321836,0.420163234600611,0.157189160654307,0.070544718532765,0.149869526070741,0.0855444445116739,0.0188067350879439,0.0146645977189892,0.20212090993214,0.0330236139962919,0.0248454545918766,0.831721152491427,0.0823992189395023,0.0432563448220456
"3","1773_dna","Acute","nk_cell_cd56low_cd16hi_5",1149,0.0227700600463724,0.0511104076017151,0.0405117411915323,0.0255474399344965,0.194478216106727,0.279691633805626,0.467096782165511,0.0669143938551291,0.0334110257641761,0.085781732059849,0.0667595567040841,0.71044649871351,0.308566530850508,0.0661026628189752,0.0629074098769876,0.0253739275413745,0.0589105816191924,0.259433824180187,0.0403871472281972,0.239158414927599,0.708007359952338,0.0486406068657629,0.201178353022548,0.435534909728229,0.292069838464217,0.531434915975602,0.170231318357393,0.0495078898877596,0.0832464004375856,0.126067093980333,0.0149480577095586,0.0120890358085566,0.194479533028298,0.0458918132909409,0.0151951923668646,0.85768982342283,0.0839162972765812,0.0339376037566588
"4","1773_dna","Conv","nk_cell_cd56low_cd16hi_5",2845,0.0130294800573389,0.0519481739019976,0.0487743817677266,0.0238093863376285,0.151386555293696,0.365445798764634,0.530266294229063,0.0464271520197699,0.0378283603706946,0.0914447656014619,0.081294680797564,0.723826942615818,0.461914800733046,0.0792980001435511,0.0704797523892156,0.0269139164668305,0.0772268252386905,0.219538195734539,0.0527996722518314,0.212226458280603,0.659301086598592,0.0568239960230162,0.184945692756244,0.461641137555432,0.264970587159326,0.55543901389923,0.212797741485553,0.0642810345640218,0.103974302059016,0.132155103925556,0.0167052646854715,0.0148881862670671,0.229623898877909,0.0622900027920929,0.0142501949691097,0.83726133347833,0.099361833487581,0.0410458814991909
"5","1785_dna","Acute","nk_cell_cd56low_cd16hi_5",5263,0.0574607229810138,0.0397351002133691,0.0247319562279628,0.0234448678189319,0.232800745231754,0.35231694304121,0.557710086688678,0.0572140681570633,0.0295404131514464,0.0794582002275267,0.0685306744019267,0.719432800103096,0.396174809923597,0.0712491528929647,0.0670951813244322,0.0296872458111164,0.0781280556569063,0.295982036132119,0.0299897882044192,0.264873661785715,0.742205018656737,0.0532975308876344,0.207854489154335,0.411025123017911,0.347287489420728,0.545381889693024,0.109123470783535,0.0386935033622496,0.0987951823784415,0.131186998658909,0.0196010983780611,0.015150996129695,0.193960036869418,0.0338665954651058,0.0165221119231218,0.848475223268624,0.060866568016219,0.0456283789994139
"6","1785_dna","Conv","nk_cell_cd56low_cd16hi_5",5851,0.0246541633132903,0.0389862693880534,0.0251341873992861,0.0213358720577143,0.164061503845166,0.358940441929788,0.538839297287114,0.0350957478664752,0.0332930329020585,0.0757319784146753,0.0730689626435063,0.725311358795247,0.490202744857752,0.0759684310964124,0.0682120381969372,0.0454187863591231,0.0895994445626979,0.228339887272905,0.0323144177645259,0.218413894847167,0.683041093967984,0.0616209813913274,0.196181949783301,0.425088003575041,0.301607949563524,0.549271912501887,0.158203942385923,0.0426206003510957,0.114378202946938,0.125700150439646,0.0176282248545356,0.0139018643967766,0.294188310229096,0.0447442876524251,0.0176011955764201,0.838444617008719,0.0629089092488544,0.0407289759206858
"7","1790_dna","Acute","nk_cell_cd56low_cd16hi_5",2616,0.0175448009443073,0.0730956720777966,0.0327095921379316,0.0349804397108315,0.18700963537128,0.320597596464489,0.437777439067471,0.118569390314472,0.047273578284299,0.135922740198884,0.0795457245106708,0.729911733359416,0.400695154149626,0.0888071972519807,0.0829146214398928,0.0165285050678816,0.0672138191440925,0.305956055098353,0.0452108174542454,0.252065796145128,0.730364884276982,0.0636954826893659,0.195516630903416,0.480065587200201,0.203094550737158,0.611312922254733,0.346460463771382,0.145452285897261,0.0884339025381074,0.168871288904636,0.0227913799063572,0.0185136370823638,0.108686867126002,0.0299489554099447,0.0145926458153659,0.790153901443402,0.116782413214432,0.0363472208627611
"8","1790_dna","Conv","nk_cell_cd56low_cd16hi_5",5600,0.0226382448892141,0.0616589711260949,0.0354657541996894,0.0348849468933819,0.14431565671425,0.340015127498602,0.453862098080009,0.0739798813626741,0.0505328569752013,0.142077123275089,0.0900672671610929,0.730196946077645,0.485592511106461,0.101402240994542,0.0910194468525909,0.0186016095411249,0.0793386527848531,0.274301225546271,0.0507784345838162,0.223273480788362,0.683898601083916,0.0708712549243735,0.173027957677609,0.526122193098061,0.167443666326384,0.585839628157042,0.391765332076118,0.159523370781569,0.0964720341202104,0.151963880078084,0.021557096324901,0.0187673724572941,0.359981877678245,0.0433182935655163,0.0139369516478613,0.791399129172268,0.126707859643628,0.0332994602800165
"9","1793_dna","Acute","nk_cell_cd56low_cd16hi_5",1236,0.0135786871738533,0.0651081587863647,0.0431601791430351,0.0329473586109879,0.207697836325645,0.370501783350961,0.517144593890034,0.0458412964080299,0.0412471995177082,0.094873724233564,0.105897397554203,0.809295536923499,0.436079116547066,0.100212560653104,0.0948282951067684,0.019106815711414,0.0836921024436251,0.290484483281456,0.0527522813587127,0.257851455575822,0.740905944554638,0.072662614240439,0.269898068752081,0.462703398369425,0.298849133211891,0.606688369497119,0.143964337407267,0.054896733231712,0.166423844541148,0.172277077449143,0.0188559285986656,0.0182137877873607,0.2686162611625,0.0428454716907332,0.015531153950511,0.857235919729342,0.0676913662798457,0.0419721586134902
"10","1793_dna","Conv","nk_cell_cd56low_cd16hi_5",4742,0.016274169303526,0.0594654785532769,0.0368208383652065,0.0286263067802389,0.14748901198771,0.415686035966962,0.52206645486367,0.0410122859123308,0.0471131567829055,0.0956724865450908,0.115171250787901,0.822016371968831,0.505837155911398,0.106247409686615,0.101615921840183,0.0287098809725288,0.0900079878847738,0.225127083678719,0.058666035771033,0.216064744507895,0.67681945903065,0.0810693091835343,0.25377500485217,0.501188971917475,0.276099703576357,0.589840040782832,0.172688017907687,0.058931912600726,0.2050426031225,0.160948900004843,0.0206538662585013,0.0167288507326126,0.296523950800135,0.0474515810131925,0.0150532954681546,0.837000818555826,0.069400349940034,0.0405410596928864
