,4G2,Axl,CCR4,CCR5,CCR6,CCR7,CD11b,CD11c,CD123,CD127,CD14,CD141,CD16,CD161,CD169,CD19,CD1c,CD20,CD209,CD24,CD25,CD27,CD3,CD38,CD4,CD40,CD45,CD45RA,CD56,CD57,CD66b,CD8,CD86,CX3CR1,CXCR3,CXCR5,DNA,E1D8,HLADR,Osmium,PD_1
"('b_cell_naive_1', 'b_cell_1')",0.117222467321,0.105297517935,0.530570086662,0.38213755314,0.68262713167,0.401236022832,0.210155904388,0.0665199026699,0.0696631805221,0.08021494953,0.120374788035,0.0727962742863,0.177452058783,0.056505669687,0.0924303164649,0.50977512611,0.168902343794,0.557738349859,0.119184505144,0.296988653193,0.101955410391,0.14516959663,0.120063566044,0.334007052804,0.0876497799921,0.511823307509,0.384827344212,0.452978647311,0.181645610668,0.0309103974617,0.123864261331,0.0871094028565,0.149621280452,0.10200351244,0.538683857865,0.522942547804,0.851559886608,0.119347189044,0.557234937327,0.711905606828,0.037748657937
"('b_cell_naive_4', 'b_cell_10')",0.144771686762,0.132130090055,0.0789135363166,0.0216797911065,0.622243291636,0.447939434214,0.214926140311,0.0197934719135,0.151666942679,0.118744297474,0.111584918627,0.0810607950286,0.276763899096,0.0289261176816,0.0945024518137,0.6605649821,0.153058596932,0.684154445681,0.0599468565839,0.289150498234,0.0797572424177,0.0651087998711,0.100671802696,0.388833901919,0.0673363769766,0.738555852089,0.409870967762,0.560140884615,0.169099257967,0.0161643345095,0.173947338881,0.0727479634104,0.0788356095781,0.0180655627045,0.0774329128251,0.7533811813,0.837286991844,0.0237951310751,0.714579524308,0.754108660177,0.0145952076884
"('b_cell_naive_4', 'b_cell_11')",0.163451381381,0.148613154207,0.0873336378638,0.0266639772632,0.680866421625,0.378052291709,0.236003231813,0.0255560778247,0.155968595113,0.14718864243,0.164277683978,0.115078420278,0.33351640481,0.0458764459436,0.10510708678,0.691593279224,0.385484882116,0.722011351758,0.0783474780602,0.450140254287,0.128577113461,0.0829257719789,0.123216017571,0.518659225262,0.0891545975873,0.772363962957,0.449122966405,0.634653532967,0.226307609895,0.0185777720252,0.233424874497,0.090300160419,0.106091586095,0.0241681279227,0.0860274716328,0.749684730569,0.842452319872,0.0281120844642,0.740127652144,0.771124667346,0.0178044374713
"('b_cell_transitional_1', 'b_cell_12')",0.141474935232,0.122865677942,0.069294394189,0.0282756411498,0.546145753552,0.241111180284,0.283730429348,0.0180566526411,0.199907250777,0.194198896371,0.125306935114,0.117993261874,0.383899818363,0.0896887556214,0.0806259670219,0.662667257798,0.207240654338,0.77180980859,0.0895430264592,0.676525965881,0.150336595557,0.0640630722081,0.154234498062,0.695921277783,0.0799697980956,0.711160921561,0.476410662893,0.603909924893,0.171041586907,0.0169204969656,0.244059585493,0.0908610441185,0.125392970505,0.039422838339,0.0710553471758,0.636666511974,0.840471780264,0.0269434390393,0.686555264206,0.768526733076,0.0208002704821
"('b_cell_naive_4', 'b_cell_13')",0.103518734948,0.0872216713129,0.0515492347647,0.0157779450466,0.540647011264,0.419623424075,0.251327378193,0.0208744384726,0.0980140212179,0.0576581417403,0.0589092510246,0.0572679307158,0.169323550897,0.020115565124,0.0735513324339,0.629135558622,0.152318909696,0.63180174204,0.0324866525016,0.233361694451,0.0640037316921,0.0431117996838,0.0729242466933,0.358536021339,0.0382833125042,0.696406632929,0.515712661653,0.546747704049,0.0999091445584,0.0400102289943,0.0958818777548,0.0434212201614,0.0497041962657,0.0153022673092,0.0501046059582,0.737196812211,0.808619452847,0.0493222471165,0.661443676403,0.672685113305,0.0114419537007
"('b_cell_memory_1', 'b_cell_14')",0.0735807601155,0.0292736764335,0.0251342121025,0.0145987437393,0.25493380854,0.140450381076,0.23359216698,0.040011017069,0.0660839471475,0.0438080898287,0.0329361162431,0.0496525203514,0.145577114711,0.0098654177865,0.0263729904054,0.570649696402,0.247579265227,0.600171847517,0.0132019004149,0.175646533334,0.0387947659683,0.0782084983107,0.0391677624736,0.194077433537,0.0351067441178,0.422097491536,0.303193516047,0.51375454589,0.0419219007349,0.0248670867301,0.0698020054542,0.044089552045,0.0415748642927,0.00703960257725,0.04455165717,0.405904950622,0.831568056926,0.0609531522594,0.484404537085,0.711683690165,0.0158663404812
"('b_cell_naive_4', 'b_cell_15')",0.117532565186,0.103431870899,0.0562504089744,0.01938696607,0.616723567062,0.348955522878,0.273498958264,0.0214035297952,0.115161568632,0.0683468821932,0.0772595942387,0.0807431091064,0.20457912097,0.0350995924329,0.078721216169,0.647537869788,0.436856975418,0.667019487549,0.0442571314546,0.374049794949,0.107921930881,0.0491725884811,0.0892315895155,0.502939357276,0.0477009551013,0.739801731097,0.562451634876,0.629180848859,0.130930730982,0.0261372754526,0.121854361163,0.0524260030279,0.067118537062,0.0208998623383,0.0567090371434,0.733448778203,0.812185500214,0.0564976773351,0.69190723722,0.693962295061,0.0145754258824
"('b_cell_memory_1', 'b_cell_16')",0.172677339654,0.114381405123,0.0772720856067,0.0548796036911,0.545316347803,0.211697212115,0.157550071079,0.105057709565,0.0801081970723,0.171419210874,0.121502368878,0.124269106744,0.357998632644,0.0425949082202,0.075422340195,0.71028742865,0.345879188176,0.764748718021,0.0696393820724,0.36115024075,0.16626272841,0.433550417799,0.11967584997,0.388936897154,0.0922861100191,0.742833442302,0.474399807787,0.652377051326,0.176161662651,0.0253271056308,0.230469304264,0.118954846386,0.165563987008,0.0193438268619,0.306599996175,0.590323564048,0.849154163941,0.0528977246684,0.699189075881,0.802737257683,0.0270795610141
"('b_cell_plasmablast_1', 'b_cell_17')",0.132868306766,0.0874747791437,0.067922934829,0.0598196138153,0.0464960571199,0.298034942325,0.0325391352425,0.0258752915297,0.144215231049,0.0304440866706,0.097235397253,0.0596892343307,0.0961816788093,0.273674148237,0.0537029549348,0.582719798868,0.0557849744043,0.192054108327,0.145602589337,0.0509272036051,0.312494802252,0.633194480901,0.317967945471,0.836793371563,0.0935771831043,0.400721460244,0.420538968182,0.552898925294,0.116909679649,0.0231884064009,0.0838692443944,0.128713361112,0.562311629986,0.0976920145712,0.197118874002,0.067220513781,0.883565429625,0.0730890503012,0.573952503262,0.848621060284,0.0149985274159
"('b_cell_memory_1', 'b_cell_18')",0.0805368714188,0.0665889906233,0.0601196107664,0.0337299575915,0.34462653426,0.285394465962,0.145338800459,0.0241011349255,0.0664327311062,0.0850711565549,0.0659893246971,0.0521975925974,0.212370767128,0.0220604509512,0.0480691185055,0.530108834233,0.150262509644,0.633655417723,0.0325033711153,0.282101609921,0.0642500142766,0.10018076128,0.0750452280152,0.285455857042,0.0503565264331,0.577427249494,0.329290483354,0.449075497124,0.0910948724654,0.0153865249775,0.113547030124,0.0623747568138,0.0630776960289,0.0148841784996,0.0779566723276,0.536698914522,0.83870844885,0.0248724638188,0.592392315826,0.753765129978,0.0122968139502
"('b_cell_naive_4', 'b_cell_19')",0.11279667003,0.0875869256698,0.0571949216305,0.0221535376606,0.542586193525,0.319541617635,0.703997853117,0.0317281958287,0.105916371536,0.0689462022061,0.072617613939,0.0814157008973,0.211747671711,0.0287681696638,0.072043178725,0.647586045666,0.30488570174,0.677379161411,0.0360417343249,0.455088645926,0.0920717143551,0.0852636276209,0.081974663218,0.392941499334,0.0453577779062,0.697351525098,0.583876960723,0.61201459472,0.116899065679,0.0392694278534,0.126925407936,0.0521192844759,0.064334310614,0.0184066873014,0.0704127872128,0.710893791944,0.813126083311,0.0622344913849,0.663055838838,0.691961070925,0.0750428930336
"('b_cell_memory_1', 'b_cell_2')",0.158132971947,0.10129956835,0.0645935977678,0.0554188957732,0.505148227536,0.234580625514,0.157104978654,0.0661093621026,0.0815541323163,0.158134130975,0.14662538049,0.134447742182,0.340157727399,0.0309738573666,0.0675133260098,0.670084637236,0.484169449923,0.728866217052,0.0434739129028,0.640090173548,0.21364069837,0.390650152231,0.109077514245,0.229952670486,0.0965218151782,0.701798565371,0.429630088007,0.675592208681,0.193943511528,0.0237719984034,0.225708829062,0.114135525741,0.107711226519,0.0158570824647,0.126600848972,0.551407053951,0.857734403857,0.0344571180377,0.653195776206,0.817536369118,0.0293243436571
"('b_cell_memory_1', 'b_cell_20')",0.129345324558,0.06941701108,0.0515215910208,0.0413453915135,0.468021471054,0.192311342724,0.212765545428,0.0668883787578,0.0576536735991,0.0823960553285,0.0804842295154,0.102308195051,0.229603282145,0.0205776874561,0.0515978831623,0.642199235573,0.481579377018,0.686312618366,0.0281212490908,0.498750892256,0.149347198694,0.325594411939,0.0749156334936,0.187046774456,0.0548924688388,0.653702927547,0.511632702455,0.674335621788,0.119577862603,0.0265176035911,0.134385840918,0.0694731001402,0.0714313020773,0.0124053239449,0.119188141983,0.534639953835,0.823472934559,0.0768999657315,0.616813858094,0.739866499844,0.0306562176446
"('b_cell_transitional_1', 'b_cell_21')",0.0999548480582,0.0756496473668,0.045138567365,0.0195986973049,0.400550872219,0.208419755078,0.314359396094,0.0151573434888,0.146407755142,0.089326429247,0.0647657457764,0.0656203769086,0.249946845037,0.0698546725842,0.0572711125685,0.608570317559,0.134130291735,0.710914812743,0.0495984742681,0.557441656165,0.109324551854,0.0398856414021,0.115052974369,0.656222675615,0.0436896935772,0.632389724651,0.526603796553,0.545312761257,0.0970276735794,0.0171260435468,0.127576870685,0.0469141039833,0.0727392732187,0.0274974218137,0.0446389998424,0.545139110189,0.811890323398,0.0429598090818,0.610392732259,0.687858362646,0.0163045646741
"('undefined_2', 'b_cell_3')",0.161904753579,0.110869197115,0.0850062785301,0.0647329987121,0.534048280145,0.355574907199,0.314961691788,0.340507593468,0.120808144965,0.119310051185,0.130621162304,0.123460979423,0.515722462188,0.260094591727,0.136300848494,0.639756391562,0.245974931472,0.661669526658,0.103451058316,0.396376592888,0.147067057459,0.112114027292,0.160882557748,0.573009110155,0.0984554940795,0.695201718139,0.572812378173,0.627844151491,0.431346577982,0.497038457936,0.154113746184,0.19181247176,0.105056172194,0.234540269177,0.108006047277,0.649884030222,0.91941532532,0.0513273944868,0.667129368538,0.846744442459,0.0215461131629
"('b_cell_naive_4', 'b_cell_4')",0.150228388339,0.13066994671,0.0793657437205,0.0325865733462,0.601416226982,0.3179159007,0.707897312011,0.0384862227987,0.148183988493,0.163676510687,0.144101390699,0.340262853731,0.347044382227,0.0437192046255,0.0867041034698,0.673897418565,0.29655698735,0.738098015639,0.0678049264952,0.549819296746,0.130108496015,0.117538759523,0.114808273267,0.431947290559,0.0928289147204,0.734269107026,0.501465130604,0.623191262947,0.187400887618,0.0265746593454,0.231241745946,0.0978544202396,0.110917462452,0.02379462947,0.114842982016,0.687141966375,0.846201690598,0.0346771169958,0.709689740802,0.77999140137,0.0405648062339
"('b_cell_naive_2', 'b_cell_5')",0.159534942784,0.0694837624951,0.054011016246,0.0265059711521,0.492342456748,0.0681074363301,0.336529952059,0.356633162622,0.0598582509856,0.137529959454,0.0576758572788,0.0880174504301,0.334443970974,0.0155397586114,0.0284490844321,0.7467279345,0.236602777519,0.799793547423,0.0320499459863,0.076203593449,0.0281864753582,0.116072741213,0.0744806435703,0.126334916214,0.0561953240745,0.458954779706,0.499880716403,0.524301935556,0.0810275592316,0.0414788790315,0.171289382294,0.0811776350635,0.126095065034,0.01139617079,0.181946896987,0.216840636499,0.826070571204,0.0655546375189,0.642400698063,0.752751433756,0.0975615606992
