"","SampleID","Treatment","MetaHybridLouvain","N","Freq","4G2","Axl","CCR4","CCR5","CCR6","CCR7","CD11b","CD11c","CD123","CD127","CD14","CD141","CD16","CD161","CD169","CD19","CD1c","CD20","CD209","CD24","CD25","CD27","CD3","CD38","CD4","CD40","CD45","CD45RA","CD56","CD57","CD66b","CD8","CD86","CX3CR1","CXCR3","CXCR5","DNA","E1D8","HLADR","Osmium","PD_1"
"1","1345_OFI_ctrl","Acute","mdc_1",100,0.000718845246995227,0.0491410974560085,0.0310945991483233,0.0175979474262153,0.221940956682788,0.0402816869681145,0.0797734116759506,0.0816942040010722,0.423580211396213,0.0163788395034884,0.0213587247124065,0.0238942851609005,0.0315128315579931,0.208901878280256,0.145341347951251,0.0308609024006078,0.0270745670841324,0.018147850980234,0.0350815756277381,0.0399087404575735,0.013861694089397,0.0993694959847566,0.0324467694567117,0.253775810842239,0.579773854547195,0.0500725235157677,0.0574065820079899,0.397205382229001,0.410684226316368,0.199419985197105,0.686285600294446,0.0378338385790412,0.114481500863472,0.0726527028103267,0.200767509456614,0.0405726442517256,0.0263322716078241,0.83884924369768,0.0882672130149944,0.389265833346125,0.751377172043982,0.0798213839737046
"2","1369","Acute","mdc_1",598,0.000999615532487505,0.0168100250173463,0.0146013227151379,0.0285370021230084,0.0549846729305594,0.0158858961336808,0.0300168029634256,0.0649446072558786,0.207178536633317,0.00872421713514383,0.00692021171298356,0.0131045031645198,0.0120804492291557,0.094007324146612,0.0613453635185635,0.0261272677091676,0.0126625360787382,0.00961628167105987,0.0231397426089747,0.0201224293512033,0.0154045366085621,0.0246696299565805,0.0420484068973597,0.0939723304466674,0.399171094441146,0.0167809416401074,0.0326010744850481,0.660530897647775,0.19196330824343,0.221752577192799,0.597103397153471,0.0162916794349319,0.0796014942529951,0.0228692525555984,0.118490439823319,0.0300290514835689,0.0113826258737313,0.851606441711757,0.0211044845870269,0.338066210708433,0.785092828446765,0.00363756981647964
"3","1369","Conv","mdc_1",271,0.000742006319374853,0.0305847401070783,0.0358911847223106,0.0444078470346679,0.0730763033944376,0.0177881932092285,0.0608188290712091,0.0631277697301173,0.235347471984537,0.0106898125108326,0.00739975645137525,0.0185377653548344,0.022825947637113,0.255684562396757,0.0882832721305706,0.0390064955767478,0.0184813562199216,0.0191632595030751,0.0288398011655251,0.0386050214618064,0.0131434962178865,0.0492683497302173,0.0360168695506628,0.121476348582859,0.530011745839527,0.0212969101077537,0.0565802170411541,0.307029368582089,0.23425759450011,0.276863903745283,0.652116988997486,0.0159331044224852,0.106830708366307,0.0228136213039006,0.189761181298669,0.048929622897047,0.0164752210441201,0.857263810944523,0.0304478416044847,0.44222529176369,0.795687872023975,0.00771999100350133
"4","1659","Acute","mdc_1",98,0.000336672575613912,0.0337495366474591,0.0161143233501814,0.0261435168550908,0.11560733984024,0.0251026679577076,0.037534195435623,0.098864848459647,0.415427420002067,0.0109111142400894,0.00557130578157272,0.0147314571247519,0.0198161587799632,0.0759549202377424,0.0441574475322717,0.0213050359057057,0.0134646541994436,0.0139823817991035,0.0398014516477727,0.0295265143697198,0.0273569225661246,0.0327924432557793,0.0279304928541507,0.0956343825209793,0.432362711755321,0.0187755124639092,0.036524004090696,0.60582382744629,0.269992559311871,0.276258574185515,0.750307427990437,0.0259811038902966,0.0326553820412997,0.0378265902805325,0.0752746825011317,0.0271194619186536,0.0262389051214701,0.859193000345058,0.0165533784598319,0.322403359241504,0.819176217116298,0.00630894099548364
"5","1659","Conv","mdc_1",317,0.00312777503700049,0.0316092261345845,0.0275576838093979,0.0408962364102571,0.193816831655753,0.0153608176193723,0.0563986730512077,0.0779121661701102,0.334838277226632,0.010939359213878,0.00767017326425479,0.012406557063494,0.0154381668746596,0.0746609406490669,0.0944015472970246,0.0416676033602499,0.0140399723409961,0.00823101327641421,0.0213180364424083,0.0425071546362913,0.0192689437595766,0.062372324780915,0.0326265369800376,0.114119816588471,0.56292853989924,0.0180050325723955,0.0439813259173311,0.145607161853128,0.281649364050297,0.33599035533004,0.701721905773807,0.0279232151177584,0.0467331853556901,0.0397018809466066,0.133588392586899,0.0519461644292978,0.0138843679332791,0.862244203172178,0.0287895838427467,0.384754966812958,0.827788748360274,0.00615045736744804
"6","1765_OFI_ctrl","Acute","mdc_1",930,0.00710721190954735,0.0335182261317316,0.0354506859747753,0.037184146612078,0.152452677992192,0.0276594028730624,0.0663151171598186,0.134304830246332,0.502503547079498,0.010841453680313,0.0143562917221705,0.0224379287738661,0.0386346899223073,0.100295073514158,0.101981088910827,0.0535816556134641,0.0257854951809181,0.0130946562164882,0.0324003092113225,0.0289961284609173,0.0334912578330438,0.0537686679175109,0.0375219875722749,0.10136031417996,0.585161235631556,0.0242724463995381,0.0456805658566946,0.451908779795421,0.518787083037006,0.454835992898486,0.743256393011479,0.0281196001301292,0.104229850244128,0.0355241139152772,0.146215808756925,0.0445669257942566,0.0339327194780696,0.825527341384098,0.0812047177420437,0.455622979157225,0.722345498388591,0.00808702205115745
"7","1779_OFI_ctrl","Acute","mdc_1",320,0.0017244910057016,0.0302620036419628,0.0263330153662962,0.0510441422936847,0.117331511982969,0.0239593642207264,0.0618747893873177,0.108828268019675,0.322335805705617,0.0183183682748958,0.0255095125562156,0.0196436898780434,0.0277676010539515,0.0610900707028949,0.161136801290835,0.0501157304672539,0.0214022690903202,0.0119909833653408,0.0426519751249946,0.0413150334832142,0.0251097802646831,0.0514003401978054,0.0399932667299723,0.119589047017742,0.501022902651319,0.0244750517866878,0.0445357891222464,0.476178167841862,0.374888200226256,0.276082028858593,0.458698819720751,0.0272631864095525,0.179855114978605,0.0358151763903288,0.19706234178328,0.0866000974405626,0.0277303449652057,0.825394738414836,0.0756503686694696,0.363096815275968,0.704039172669854,0.0194073947216244
"8","1862_CHIK_ctrl","Conv","mdc_1",1311,0.00270753649288316,0.0234675697530914,0.0287474096755436,0.0279980800674501,0.166838147585275,0.0295832819057924,0.0605724957639334,0.0896967355746969,0.240438703454383,0.0213297417098096,0.0213438572418922,0.0249851085485856,0.0220694574338742,0.127023173633776,0.118078120388775,0.0443862555733671,0.0244915690449465,0.0147527149915239,0.0318054915646393,0.0464614780926974,0.0213161439038919,0.0577293593293165,0.039559409257334,0.118813547991869,0.534870266262011,0.0263541386389961,0.0421401692662986,0.624177052951867,0.363238480509359,0.288689964285349,0.419581254865997,0.0479010327176782,0.0886418813374433,0.0638372514739315,0.17284967158729,0.086901174177578,0.0224949724207059,0.835839579148275,0.0436833221821889,0.437065377979179,0.74920035358342,0.00805624644064009
"9","1879_CHIK_ctrl","Conv","mdc_1",1782,0.00434226397163639,0.0289976195519765,0.0333602220233298,0.0334565695470833,0.137592067739679,0.022723409599692,0.0600661239696368,0.0794032094608698,0.221692635893187,0.0109630312142,0.0180421312241932,0.021700298066534,0.0234409426991129,0.105887666692716,0.138780945842464,0.0406069513610405,0.0207983554044323,0.0144536345582168,0.0374617521911449,0.0473020089792324,0.0257768041804576,0.0463203013140089,0.0420865414598299,0.119886529053697,0.510023510703109,0.0242047874529816,0.0371290591157752,0.570118810134353,0.30635587942405,0.200095495681768,0.328179073283804,0.0180673539017519,0.0992961601352474,0.0698297043687818,0.195030139116902,0.0864158081194458,0.0240616290488892,0.82268201818745,0.0523970400055222,0.418017616272363,0.714335281770228,0.00875357250232138
"10","1880_CHIK_ctrl","Conv","mdc_1",370,0.00136926481581538,0.0243485155481919,0.0206991717219355,0.026518766409071,0.0493073676273033,0.0258698405713795,0.0433011115195904,0.0945236336582386,0.414493340316356,0.0143277922158863,0.0110402069828858,0.0133449040804907,0.0296679215057928,0.0692840253428905,0.105050110846628,0.0472222229135562,0.0184981428089942,0.0147244495341263,0.0368291995147515,0.0293351542959471,0.032626887861208,0.0270126678837796,0.0367397884014052,0.124781482995811,0.426639260854151,0.0190517492891872,0.0340652816056924,0.460627950238871,0.397266107646956,0.344717479161419,0.644857070862714,0.0181431331099227,0.0851392284849651,0.0369123679436483,0.138073646957251,0.0409879816247734,0.0274822470551804,0.816757722953527,0.0427032180041183,0.361936620939117,0.703120983530566,0.00559379652168426
"11","201","Acute","mdc_1",323,0.00121913475402163,0.0315866005312164,0.0184883538920534,0.0385498818832019,0.246232286185982,0.0176213014901375,0.0418880993381679,0.0708224699120476,0.240782848900022,0.00713400300379274,0.00778330865637307,0.0200771345084533,0.0237975377883186,0.0606533848949144,0.0471982593548503,0.0342381495078516,0.0170079175146066,0.0115765338121944,0.0260504134306701,0.0297195289827854,0.0239319580973399,0.0322439330488043,0.043156342340828,0.0847756829567328,0.438580807292864,0.0228508451840762,0.0349218360535264,0.142444663765442,0.353956929280029,0.341061717521149,0.557173830342457,0.013880998369287,0.0568094107831576,0.0264875022141743,0.169652850594957,0.020467765516446,0.0180387265551038,0.850510122016521,0.0246594484377182,0.393042157427582,0.772039645006667,0.00361311547540643
"12","201","Conv","mdc_1",354,0.000863633702207389,0.0249875955516949,0.0403315776717106,0.0443266729331847,0.193209621772087,0.0265380335027702,0.0476874179786624,0.0867080802879591,0.342361970990775,0.0124596899131545,0.00837850656762014,0.0227901345687521,0.0383775394176709,0.270477312404528,0.0864528242197684,0.0588646803515653,0.0200764268627029,0.0181789029881967,0.0278286170632212,0.044746652191199,0.0370973526032597,0.0481093939947566,0.0509984421984041,0.131424383349025,0.53563173683485,0.0211688680871712,0.0590263465207786,0.396768408527856,0.423087261139742,0.4525254542018,0.660777498727032,0.0251872690032637,0.0786577860126155,0.0437099781814547,0.239367523762163,0.0737126724732078,0.0271266647557819,0.867145181291759,0.0233031717542817,0.45907933269918,0.804322277332517,0.00499014152594842
"13","2226","Acute","mdc_1",76,0.00040378924326708,0.040204429262628,0.0172134230553986,0.045547411580808,0.219541573509862,0.0339374405284163,0.0578817260636827,0.133748935228008,0.348198115230555,0.0224473438175933,0.0185719923739879,0.0291917237647861,0.0407586648160105,0.142323686968047,0.0653092937600735,0.0736396040330144,0.023203379859036,0.0177484186734026,0.0467646037879906,0.0254408755022329,0.0350622476088859,0.0246960805984704,0.0477968302282636,0.158760714239134,0.364735866642116,0.0355364399405801,0.0786637443835821,0.393949715620752,0.426103901890937,0.483742825139837,0.648620755377538,0.0314584040904722,0.105496516543746,0.0492261431737395,0.298584568522661,0.111897045682819,0.0399747493744792,0.843093265065019,0.0281781543042148,0.396872349920705,0.810392104377236,0.00777532150388047
"14","2226","Conv","mdc_1",332,0.00270155909253654,0.026023060830454,0.0387482550259778,0.0392390837991419,0.286429820008656,0.0379255196599486,0.0650605686234196,0.113636222150231,0.377389616283819,0.0185871823146351,0.0140793683440466,0.0392111378813102,0.0429104975168209,0.258800501443027,0.0584797919925627,0.105512973332385,0.0286682888073127,0.021227647869824,0.0316457062746724,0.0618446209265395,0.0416249879480077,0.0550074019405559,0.0567644581403888,0.158373277047213,0.552141164081216,0.0408389523225476,0.0939082127860792,0.376943048181493,0.450358724294988,0.569648342385177,0.698271903118094,0.0457809067791165,0.104595956711992,0.0587420599387197,0.261267923697532,0.100212246746271,0.0340859471341601,0.848554551391075,0.0300580826950638,0.484317561358761,0.821387494055687,0.00942306389938592
