"","SampleID","Treatment","MetaHybridLouvain","N","Freq","4G2","Axl","CCR4","CCR5","CCR6","CCR7","CD11b","CD11c","CD123","CD127","CD14","CD141","CD16","CD161","CD169","CD19","CD1c","CD20","CD209","CD24","CD25","CD27","CD3","CD38","CD4","CD40","CD45","CD45RA","CD56","CD57","CD66b","CD8","CD86","CX3CR1","CXCR3","CXCR5","DNA","E1D8","HLADR","Osmium","PD_1"
"1","1080_DENV_ctrl","Acute","pdc_3",528,0.00280659976186426,0.110428711590583,0.094476118574893,0.0575894307046781,0.335261357211189,0.0232025958443949,0.154853119108694,0.0227322410033012,0.0142114908028405,0.883436543470434,0.0128876070103575,0.037967610484956,0.110143479817124,0.0409349876121098,0.0210318238206309,0.0207571181352075,0.0454687785052288,0.0229770479195093,0.028105444436345,0.0486549108590493,0.0249818358246352,0.0221788715823673,0.0374995614113561,0.0510427512446568,0.423644147028564,0.693338547524652,0.0233565746043919,0.446811325997404,0.501132758793316,0.087124437723788,0.012480043849125,0.0544083265599113,0.109106662709069,0.0416900812613153,0.0104669251710427,0.584207466681759,0.0208056601180658,0.854662528827732,0.119370349716667,0.687238461689294,0.815974227174846,0.0739882155721938
"2","1096_DENV_ctrl","Acute","pdc_3",612,0.00180485186648815,0.134816477433832,0.0855464087484297,0.0691418807671565,0.424770934416424,0.0258865487431117,0.158643608406422,0.0268196021360751,0.0232932435383966,0.862275533212062,0.0181565107098361,0.0320739996222228,0.170451448019063,0.0326272662770183,0.0684315549430477,0.0236075710044964,0.0433047810320808,0.0194854912638552,0.0281100265658533,0.0878237070929624,0.0259546531666472,0.0593691885324952,0.0477154964962395,0.0941174019235212,0.620337382812607,0.693657287734071,0.079453654879576,0.49681138913347,0.516882399535045,0.0850589096635798,0.0225004140367202,0.0698229427807125,0.0937870217626213,0.0622175433051487,0.0214941100844764,0.614566065614571,0.0255860937432465,0.863909559402739,0.208077916190079,0.572405291347692,0.850359361325718,0.120026308024215
"3","1304","Conv","pdc_3",4,1.45198468156161e-05,0.387772637716416,0.194978608932563,0.0736534172201628,0.398795217227836,0.0563657721022118,0.231063165056556,0,0.0217913844034878,0.880532559361807,0.0166605409107185,0,0.215167664062024,0.0850886366970018,0.0730751068914289,0.0236096681135923,0.00750344116281827,0.00826611303502898,0,0.165195099688099,0,0.0192095468718053,0.0521650662260363,0.0543922386908459,0.650589351804289,0.600441517876987,0.0718007601941865,0.454522590774822,0.573964050364469,0.153943256726978,0,0.0237395180616073,0.0797588302097681,0.203108296633711,0.0318389179319812,0.595023627663135,0,0.942844623249387,0,0.756479958090731,0.955825011608394,0.236389963152023
"4","1345_OFI_ctrl","Acute","pdc_3",1258,0.00904307320719995,0.193306620056486,0.106473323670567,0.0636351663176147,0.435654274892901,0.0624833821541634,0.252374499151485,0.0214895954400921,0.0230419975990784,0.859351941925675,0.0152671992271931,0.0417536119615337,0.16388444982726,0.0417976483850708,0.0948542132319194,0.0277869595648127,0.0519676622887232,0.0307857561598079,0.0239183405435968,0.0961340730778403,0.0192513341506318,0.121701661873895,0.0400393577571145,0.14716948616562,0.70277778389097,0.725463661937715,0.0838315537443041,0.470661516394885,0.482521199723406,0.107064637073946,0.0186672278104253,0.0632984411645788,0.120066351972739,0.0964392298025637,0.0315942955196724,0.549936775032649,0.0222617696495254,0.869201651257786,0.160677032127528,0.670624989461785,0.839170900914581,0.132029309935355
"5","1346_OFI_ctrl","Acute","pdc_3",479,0.00192999633340989,0.118821776462839,0.0752436850871709,0.0550377195784465,0.511911426455576,0.0247470820703663,0.146511824667684,0.0200525738846074,0.0161045990289661,0.904149495996087,0.0144500286366611,0.0421283775922992,0.088112957039797,0.0394286946317422,0.0284448406812631,0.0278869934213729,0.0500423357799491,0.0248746389406677,0.0237134627145947,0.118021248668772,0.0209768476047294,0.0323565924054468,0.0376327327760004,0.0601520586056936,0.479860225929704,0.706904476531986,0.0543857940286571,0.502974876970937,0.463313338506805,0.0918048152267736,0.0172654939849465,0.0498016385429577,0.105530347178958,0.0670364252487574,0.00867411823060015,0.626039038164204,0.0140966857439456,0.859880371483976,0.137713303191881,0.67764535087668,0.847491050663435,0.0751848309049791
"6","1369","Conv","pdc_3",16,4.38084911808031e-05,0.223972136222944,0.184244207879044,0.116312024865974,0.280286255231496,0.0698528661941009,0.180306358976979,0.0238161122853172,0.0287217337795212,0.891074587778291,0.0394700872424613,0.0322546474507204,0.129063730061623,0.0169770653462247,0.0702036100818101,0.0224397472492368,0.0522272939009833,0.0331930424519502,0.023037287904811,0.174393387613202,0.0260477093064799,0.0900003691368593,0.0885155700311219,0.116877519144192,0.602657986016722,0.529597528809944,0.0805949220907267,0.491471032318322,0.45760262762426,0.0936481813700683,0.00178966956571976,0.0360710773698213,0.0897186092208006,0.0581880283622694,0.0221156393648043,0.564595826551379,0.0409264424842716,0.91112305679201,0.123804849865669,0.749945354735763,0.914219873278089,0.130337219229846
"7","1765_OFI_ctrl","Acute","pdc_3",165,0.00126095695169389,0.148907105832917,0.10038440363795,0.0629388710492704,0.518471610106113,0.0396254471558113,0.174227028186068,0.0398614543830076,0.0406030940632384,0.881539018985511,0.0269930765829524,0.0471454785872964,0.254144418590678,0.0399647064675102,0.0491733676971356,0.0437974590254832,0.0587313480108331,0.0261417333422793,0.0304325062891718,0.0530027379976231,0.0313159436338634,0.0442194961754165,0.0760123709865611,0.0814854195513576,0.565306485523633,0.67852772532749,0.068867747557863,0.484697566177868,0.54381830210241,0.103683332370231,0.0206069100960905,0.0629541562774491,0.0934944966698103,0.0898498894584328,0.0190442919141412,0.591855391438809,0.0221947981270286,0.855495809135386,0.106674038852442,0.651653889881468,0.817006873660168,0.108791590682952
"8","1779_OFI_ctrl","Acute","pdc_3",670,0.00361065304318772,0.181260984073011,0.159966789037401,0.0865123586888481,0.5487474942866,0.0322705024365801,0.147936201622904,0.0283137390446344,0.0209302980624512,0.881946301156865,0.020937644688215,0.0481443074906202,0.240922154982157,0.0448818332364166,0.048044939031179,0.0353848236632835,0.0514098918285613,0.0270008647618695,0.0253575649251175,0.131577286567526,0.0308334942413081,0.0464902431153457,0.050768156220905,0.0720841619884061,0.539373455003635,0.695018222541227,0.0573214364581281,0.473558940524451,0.474788422393861,0.103691933684706,0.0262549373920962,0.0755892057168131,0.103779222407413,0.0635403514635073,0.015749005516825,0.611906085653778,0.0219451733311028,0.850771444738895,0.135246916707723,0.719769458851555,0.815200369760636,0.0980627277499009
"9","1855_OFI_ctrl","Acute","pdc_3",406,0.00167224080267559,0.156980510405247,0.0986350519792851,0.0707360054601954,0.536393620552477,0.0304654065160115,0.150252960871365,0.0262221164477362,0.0227092140020186,0.886604838700491,0.0155818782384988,0.0352458256591477,0.13041552915473,0.0420468953363528,0.0468446757942017,0.0283576916647071,0.0523010186601239,0.0261749106719301,0.0276881812772554,0.0734791814784465,0.0283740477018683,0.0511936226708126,0.0440651509761552,0.0938176311659501,0.649903002236593,0.755951616076623,0.0690288675848437,0.522877586375976,0.494055115072739,0.100014840846568,0.019279302293717,0.0503520554641471,0.134308613552144,0.0569791509495009,0.0157318494874002,0.586124287240661,0.0244050425231566,0.860050049300336,0.144494261171151,0.664569087846934,0.835012412098044,0.0863536953743534
"10","1857_CHIK_ctrl","Conv","pdc_3",998,0.00252453069783796,0.127716810223613,0.09865034248246,0.0558323406490272,0.497815229966287,0.0215277549611309,0.138646109873793,0.0197577306647352,0.0125481588450037,0.860576738488878,0.0157641944158454,0.047254501190467,0.138068652717006,0.0387034567309916,0.0235971725819627,0.0266166109460099,0.0452390131731556,0.0225362389454949,0.0226847687837452,0.0666913468027913,0.0195380533718158,0.0303256130135111,0.0455463109489958,0.0617766032912024,0.473999632934879,0.646385324234976,0.045704454868997,0.545933499942874,0.443966143936706,0.0882980523450361,0.0128888007218698,0.052593275408514,0.093802233655082,0.0549357723919428,0.00978413676046853,0.52450536639759,0.0175070273643069,0.86026138211736,0.104337493086804,0.704709389473809,0.84401565754945,0.0788787680751677
