	4G2	Axl	CCR4	CCR5	CCR6	CCR7	CD11b	CD11c	CD123	CD127	CD14	CD141	CD16	CD161	CD169	CD19	CD1c	CD20	CD209	CD24	CD25	CD27	CD3	CD38	CD4	CD40	CD45	CD45RA	CD56	CD57	CD66b	CD8	CD86	CX3CR1	CXCR3	CXCR5	DNA	E1D8	HLADR	Osmium	PD_1
b_cell_1	0.566913786667	0.32375145958	2.53045656456	1.12993689116	2.59742343586	1.21821065475	-0.0995512028917	-0.683492104983	-0.348667413742	-0.357700542286	-0.23578326338	-0.249355096925	0.0981362365617	-0.455916136308	-0.295430566319	1.65863093313	0.666036862131	1.7278137628	0.815729339187	1.21886342359	-0.113978408607	-0.312323276749	-0.705538007478	-0.24540894302	-0.736531329299	1.39307781794	-0.415988158291	0.914898421228	0.298060837281	-0.482889663364	0.0492155436826	-0.579082672711	-0.167688411728	-0.255586169189	2.40312061621	1.8730131775	-0.345672300765	1.21304645746	0.77604392001	-1.35790271232	-0.269956493884
b_cell_10	0.970017111499	0.58171012274	-0.372474258875	-0.938774256236	2.29569193011	1.51052943684	-0.0799113961131	-0.881489336788	0.0345141706651	-0.125753667507	-0.271988755464	-0.174320011515	0.671970047653	-0.651624981833	-0.280136637333	2.36360491881	0.540037195258	2.27068985884	-0.263132923891	1.17057368711	-0.303605573991	-0.680496543776	-0.782837205479	0.0420437382566	-0.81699833291	2.42251979386	-0.224451350339	1.53527762289	0.197081962409	-0.559170588703	0.299509756618	-0.653496663043	-0.507015294816	-1.0106192443	-0.54494899435	3.01139061888	-0.904312135079	-0.525200914934	1.37600200397	-0.718526407734	-0.542832183874
b_cell_11	1.24334053628	0.740172351945	-0.318355764858	-0.910169402772	2.58862535855	1.07310262419	0.00686628348949	-0.857071036483	0.0546146386421	0.0454814368938	-0.0549471351355	0.134532188831	0.999891738967	-0.53134278237	-0.201866395866	2.50866867094	2.38844052818	2.43326100332	0.071987335108	2.162408237	0.11343666893	-0.598562150227	-0.69297174569	0.722707279842	-0.730570330899	2.57601998289	0.0757529116697	1.96664317162	0.65752135453	-0.546685951445	0.596753530215	-0.562549719779	-0.376357699249	-0.955725854631	-0.490017166221	2.99312998236	-0.702141654497	-0.446668510244	1.47341753074	-0.460733880436	-0.505009708954
b_cell_12	0.921778666641	0.49264540867	-0.434299342904	-0.900919866767	1.91544077785	0.21598196157	0.203366614459	-0.888848884747	0.259928190743	0.328483409832	-0.215467738344	0.160996565283	1.29101217459	-0.220443731321	-0.382555609679	2.3734334956	0.970927769508	2.6471134535	0.275885615606	3.55713778913	0.299316373735	-0.685305501289	-0.56932627714	1.6520777089	-0.766953860202	2.29813759956	0.284452673957	1.78866354454	0.212714728016	-0.555258983819	0.649901354765	-0.559643493397	-0.283832213084	-0.818507695839	-0.585710986671	2.43481478772	-0.779659798977	-0.4679280716	1.26914493492	-0.50009258748	-0.469702228162
b_cell_13	0.366399209693	0.149976794622	-0.548352754108	-0.972645672031	1.88796415846	1.33329823782	0.0699581889652	-0.876908880226	-0.216191539814	-0.493492642361	-0.488959950127	-0.390339749567	0.0511688996963	-0.714146050673	-0.434771773577	2.21666581743	0.534154726538	2.04586855595	-0.763250309387	0.826866954181	-0.438179453571	-0.781653511375	-0.893444156843	-0.11680556916	-0.93208555104	2.23114816904	0.585039343199	1.45774237469	-0.359792212165	-0.435816517672	-0.0906286714869	-0.805453574938	-0.646663214475	-1.03547545566	-0.719616931291	2.93143909168	-2.02635706712	-0.0608211482715	1.1733939441	-1.95209323226	-0.579994954363
b_cell_14	-0.0716566568113	-0.407114311854	-0.718129951913	-0.979413252442	0.460286242917	-0.414058572051	-0.00306044722472	-0.795820093281	-0.365392211232	-0.576870026818	-0.595943351367	-0.459481443919	-0.0860403991498	-0.786882710844	-0.782983686036	1.94323222917	1.29172635196	1.91003843443	-1.11447274621	0.47129221296	-0.653526265893	-0.620255340005	-1.02800382069	-0.979048480905	-0.944668816366	0.985692449171	-1.04033402567	1.26673974509	-0.82650048809	-0.514151521951	-0.220964933359	-0.801990604355	-0.685632978354	-1.10979922912	-0.7551084132	1.2948420679	-1.1281507402	0.150763936686	0.498340134825	-1.36126475001	-0.5278512098
b_cell_15	0.571451174039	0.30581580238	-0.518136910877	-0.951933059324	2.2681104645	0.890984620902	0.161242049051	-0.874666923896	-0.136065650294	-0.429146369307	-0.413374844691	-0.177204339723	0.254879132771	-0.607817032516	-0.396614114254	2.30270045526	2.7969844603	2.19710619755	-0.548881139283	1.69362594713	-0.0630095913122	-0.753781937489	-0.828440036328	0.640289298966	-0.894779665842	2.42817650339	0.942504935997	1.93496093464	-0.110116073731	-0.507580875167	0.0391709057483	-0.758795172228	-0.563183692271	-0.985124340325	-0.67740493567	2.91292363141	-1.88678228967	0.0697115999329	1.28955211598	-1.62974390529	-0.543065322949
b_cell_16	1.37833581129	0.411080672182	-0.383024350216	-0.748236474506	1.9112963272	0.0318785931592	-0.316137639767	-0.520193112068	-0.299860653106	0.191349584802	-0.231138755323	0.217976101124	1.14135251603	-0.554629090982	-0.420962318588	2.59606771342	2.07347057276	2.61679059583	-0.086608361596	1.61415366363	0.435364872515	1.01384525236	-0.707083516313	0.0425837338416	-0.718165544662	2.44194149147	0.269073399169	2.06924743267	0.253923476105	-0.511771858475	0.581982829982	-0.414075081668	-0.0912634961086	-0.99912108738	0.919764566523	2.20587849486	-0.439832072439	0.00422260475434	1.31731791367	0.0181968978863	-0.39569745919
b_cell_17	0.795845496096	0.152410081948	-0.443114119633	-0.719885152691	-0.581254615644	0.572270384612	-0.830827199084	-0.855718409524	-0.000305678983565	-0.657321395255	-0.331094466641	-0.368356294117	-0.371452200448	1.08514559715	-0.581267839166	1.99966247236	-0.233545224402	0.157434357127	1.29686717621	-0.29708549812	1.68454785393	1.93194262249	0.0833458880223	2.3906585635	-0.713051247342	0.888638080857	-0.142861130632	1.49335277086	-0.222964008257	-0.522835283119	-0.150662774008	-0.36351120726	1.81063471863	-0.294368668696	0.2200197255	-0.378274617426	0.907021812361	0.371535663964	0.839788336131	0.713336557681	-0.538078846996
b_cell_18	0.0301259581289	-0.048378350174	-0.493268401529	-0.869616878143	0.908471074679	0.493153066494	-0.366413349265	-0.863236169617	-0.363762437348	-0.328466150769	-0.459797110567	-0.43637427058	0.29990004866	-0.700344834473	-0.622849820922	1.75369525403	0.517800910502	2.05382890476	-0.762945822598	1.12714650803	-0.436075592187	-0.519212130734	-0.884989528339	-0.499958887551	-0.884260213844	1.69094176945	-0.840741111122	0.892302465246	-0.430733568587	-0.563194173237	-0.00234565005686	-0.70724557159	-0.582554363989	-1.03923622037	-0.541601403436	1.94097026139	-0.848676434022	-0.505602479791	0.910099713387	-0.723730890626	-0.569919972971
