	CD38	CD56	CD57	CCR7	CD4	CD209	CCR4	CCR5	CCR6	CD3	CD8	CD1c	CX3CR1	CD86	CXCR3	CXCR5	DNA	CD20	CD27	CD40	CD25	HLADR	CD141	CD127	CD45RA	CD123	CD161	CD16	CD66b	CD14	CD11c	CD11b	CD19
('b_cell_memory_1', 'virus: chik', 'original: b_cell_memory', 'predict: b_cell_memory', 'correlation: 1.0')	-1.17220605169	-0.633557786967	-0.557986947496	-0.156051689559	-0.746319217727	-0.7425076487	-0.288270822147	-0.496793774905	1.88234097415	-1.02219533289	-0.656524683898	2.23669161161	-1.22594508689	-0.0871829409796	-0.363310889408	1.87536466945	-0.52158314229	2.08626868459	0.331827097044	1.72913839685	-0.0144899849291	1.09468738041	0.168982716372	-0.247831693807	1.46615394972	-0.525482707759	-0.789068585944	0.302491939338	0.246815152608	-0.393285516477	-0.409225822054	0.0375548148981	2.08281177351
('b_cell_naive_1', 'virus: chik', 'original: b_cell_naive', 'predict: b_cell_naive', 'correlation: 1.0')	-0.431939179151	-0.339119120916	-0.745880212199	0.382867750809	-0.812939413495	-0.346268922083	2.36463662732	-0.564663597271	1.42567169852	-0.965665941873	-0.87358743955	0.601597144558	-0.664020652641	-0.287005970297	0.869765294307	1.43631365863	-0.807172726146	1.43239678874	-0.740917992569	1.56139513807	-0.721953140737	0.685384313005	-0.165582500399	-0.590341777492	0.274372093192	-0.455174974326	-0.790099645381	-0.146973020725	0.0781188987827	-0.30678482715	-0.744317007282	-0.12665295644	1.20851555569
('b_cell_naive_2', 'virus: chik', 'original: b_cell_naive', 'predict: b_cell_naive', 'correlation: 1.0')	-1.08787041381	-0.441203794517	-0.340243634292	-0.759788623918	-0.547540450373	0.397206805398	0.0506786258232	0.010100507549	2.35780994392	-0.970605902837	-0.243108578375	3.17337905542	-0.908290810381	0.530419250342	1.7777058434	1.2678011598	-0.00619849870679	2.54481654338	0.208237713371	1.71439337618	-0.351499129888	1.34619046334	0.835123268694	0.432364410241	1.80841514373	-0.254072771666	-0.610462678317	0.940226300107	1.03794971891	-0.201838520671	0.63191327055	0.345448625842	2.53198432676
('b_cell_naive_3', 'virus: chik', 'original: b_cell_naive', 'predict: b_cell_naive', 'correlation: 1.0')	-1.81182667945	-0.694711900276	-0.568144921537	-1.00179464641	-0.679502991059	-0.571986766285	-0.148866916613	-0.369042012668	1.85411940512	-1.03433063139	-0.487345246066	0.884503166836	-1.13318157855	0.350096704707	-0.136244853184	0.0839155764309	-0.645814128354	2.48147006297	-0.677925590012	1.10947285111	-1.06701502952	1.15435982351	0.205305619836	0.263322757496	1.02845624916	-0.531659871786	-0.894759991866	0.812063873228	0.763527313048	-0.433150969015	1.01057062484	0.109565212219	2.48216220951
('b_cell_naive_4', 'virus: chik', 'original: b_cell_naive', 'predict: b_cell_naive', 'correlation: 1.0')	-0.462594420805	-0.72187737796	-0.623890927445	0.82407596103	-0.836599506961	-0.798180192934	-0.39242420256	-0.884161815743	2.02788540635	-1.07633645711	-0.841873779279	1.07048364141	-1.22895555345	-0.366634472601	-0.943999197797	2.49625957586	-1.16377106286	1.93617200887	-0.924168301677	1.76461908818	-0.69981052835	1.17666823299	-0.175131485803	-0.449559774942	1.04185260865	-0.259573504872	-0.889893842323	0.0709892668656	0.012859933655	-0.521472243388	-0.916070267578	0.0123291865276	1.98748467368
('b_cell_plasmablast_1', 'virus: chik', 'original: b_cell_plasmablast', 'predict: b_cell_plasmablast', 'correlation: 1.0')	1.37870548939	-0.575728992603	-0.737374477795	0.518495588457	-0.810431416155	0.0685423231764	0.222878671339	-0.845448697416	0.0147788449162	-0.336406597896	-0.848606578144	-0.152677254258	1.03619933572	1.08043069697	0.27341077231	0.0438068411484	0.391198060014	0.355156022223	0.774602825964	0.868843746617	0.888837917994	0.644342924435	-0.350295049196	-0.851025033198	0.771837883184	-0.333777906882	-0.158450478237	-0.525685179756	-0.411943779653	-0.471705112342	-0.865827329648	-0.48025447303	1.28331509739
('b_cell_transitional_1', 'virus: chik', 'original: b_cell_transitional', 'predict: b_cell_transitional', 'correlation: 1.0')	0.923145363379	-0.74141119515	-0.643256163624	-0.0123761452183	-0.821616948709	-0.651426164703	-0.308656911969	-0.699772318654	1.53539057057	-0.859753345712	-0.778684091629	0.832170965705	-0.680161603122	-0.146251566222	-1.02409804811	1.88056508532	-1.30018141158	2.19382448416	-0.965566249973	1.70292958721	-0.226780358227	1.07174573341	-0.0448455417812	-0.159351617643	1.16747396083	-0.0401438799047	-0.741468199755	0.419342252215	0.297417519626	-0.530718165925	-0.952733549449	-0.102100624743	1.92491863735
('b_cell_transitional_2', 'virus: chik', 'original: b_cell_transitional', 'predict: b_cell_transitional', 'correlation: 1.0')	0.894647260925	-0.734948802206	-0.642318357591	0.0227340213287	-0.819482399143	-0.642432511484	-0.299904456197	-0.699482257474	1.60911434141	-0.868206366642	-0.777625785732	0.897822093278	-0.696069603714	-0.148850894502	-1.0269680196	2.05114529693	-1.31146559116	2.19268039179	-0.964621491587	1.74292225892	-0.24589122027	1.08777085721	-0.0420901546515	-0.158962853725	1.17531550289	-0.0432647874805	-0.743134109865	0.421316020502	0.301695858866	-0.528087948219	-0.954146790003	-0.087260842959	1.93406888805
('basophil_1', 'virus: chik', 'original: basophil', 'predict: basophil', 'correlation: 1.0')	0.764556223273	-1.07760287934	-0.924349628538	-0.793143204348	-0.921857648087	-1.28411899899	-0.742279704282	-0.35822111788	-0.771645791209	-0.679860436068	-1.0076824903	-0.881057852754	-0.977487320371	-0.782419855296	-1.2279450659	-0.375800134666	-0.802183220589	-0.583506179813	-0.938352371787	-0.852687215049	1.33726323548	-1.27443468221	-0.959559645425	-0.990869002138	-1.56672223513	2.33465462359	-0.937845175339	-0.875704928198	-0.893599992879	-0.567544906701	0.00974670427821	1.16449451728	-0.699872717895
('cd14_cd16_monocyte_1', 'virus: chik', 'original: cd14_cd16_monocyte', 'predict: cd14_cd16_monocyte', 'correlation: 1.0')	1.02526902362	0.5400272551	0.566374966414	-0.448199652811	0.100239810507	1.13888013687	-0.371497472272	-0.241898999274	-0.625955092008	-0.498394440362	-0.0440268864627	-0.0623340364319	2.40895229732	1.25926915675	-0.836037540413	-0.392164341233	0.770421952576	-0.316802558289	-0.739580143377	0.237019982263	0.044438113973	0.249489291402	0.510477576536	-0.733349689364	0.420595145342	0.0286073124047	0.920051064224	2.19934140758	0.256773949346	1.81361243302	1.23326023656	1.60901100732	-0.185094868449
